Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
243.0,Quinten Post,24.0,GSW,PF,31.0,13.0,16.4,3.1,6.6,0.461,1.7,4.1,0.414,1.4,2.5,0.538,0.59,0.5,0.6,0.789,1.0,2.9,3.9,1.5,0.5,0.5,0.8,2.1,8.3,,postqu01
246.0,Keon Ellis,25.0,SAC,SG,65.0,14.0,23.0,2.8,5.8,0.484,1.7,4.0,0.43,1.1,1.8,0.6,0.631,0.9,1.1,0.855,0.7,1.7,2.5,1.4,1.4,0.8,0.8,2.0,8.2,,elliske01
247.0,Jalen Smith,24.0,CHI,C,57.0,1.0,15.2,2.9,6.4,0.463,1.2,3.6,0.332,1.8,2.8,0.633,0.556,1.1,1.4,0.823,1.4,4.2,5.6,1.0,0.3,0.7,0.6,1.6,8.2,,smithja04
248.0,Lonnie Walker IV,26.0,PHI,SG,10.0,1.0,19.2,2.8,8.0,0.35,1.6,4.9,0.327,1.2,3.1,0.387,0.45,1.0,1.2,0.833,0.4,2.9,3.3,1.9,0.4,0.3,1.1,0.7,8.2,,walkelo01
249.0,Cason Wallace,21.0,OKC,SG,59.0,39.0,27.5,3.3,7.1,0.467,1.1,3.1,0.348,2.2,4.0,0.559,0.543,0.4,0.5,0.833,1.0,2.4,3.5,2.5,1.7,0.5,0.8,2.3,8.2,,wallaca01
250.0,Johnny Juzang,23.0,UTA,SG,51.0,12.0,18.5,2.8,6.7,0.421,1.7,4.6,0.365,1.2,2.1,0.541,0.545,0.7,0.9,0.826,0.6,2.2,2.8,0.9,0.5,0.1,0.5,2.0,8.1,,juzanjo01
251.0,Taurean Prince,30.0,MIL,SF,67.0,60.0,26.8,2.9,6.4,0.452,1.9,4.2,0.446,1.0,2.2,0.463,0.598,0.4,0.5,0.833,0.5,3.3,3.8,2.0,0.9,0.1,1.1,2.1,8.1,,princta02
252.0,Day'Ron Sharpe,23.0,BRK,C,47.0,2.0,18.0,3.3,6.3,0.523,0.2,0.9,0.275,3.1,5.5,0.562,0.542,1.2,1.6,0.757,3.0,3.6,6.6,1.8,0.8,0.9,1.3,2.3,8.1,,sharpda01
254.0,Jaden Hardy,22.0,DAL,SG,46.0,3.0,15.2,2.9,6.8,0.428,1.3,3.3,0.384,1.7,3.5,0.469,0.521,0.9,1.3,0.672,0.2,1.4,1.5,1.4,0.5,0.1,1.4,1.5,8.0,,hardyja02
255.0,Justin Champagnie,23.0,WAS,SF,48.0,18.0,19.3,2.9,6.0,0.491,1.1,2.9,0.377,1.9,3.1,0.597,0.582,0.8,1.1,0.736,1.6,3.4,5.0,1.0,1.0,0.6,0.8,1.8,7.8,,champju01
256.0,Isaiah Collier,20.0,UTA,PG,61.0,36.0,25.1,3.0,7.3,0.412,0.5,2.2,0.235,2.5,5.2,0.486,0.446,1.3,1.9,0.67,0.4,2.8,3.3,6.2,0.8,0.2,3.0,2.1,7.8,,colliis01
257.0,GG Jackson II,20.0,MEM,PF,25.0,2.0,16.2,2.8,7.0,0.392,1.2,3.6,0.337,1.6,3.5,0.448,0.477,1.1,1.5,0.737,1.0,2.3,3.2,1.0,0.4,0.2,1.1,1.1,7.8,,jacksgg01
258.0,Ja'Kobe Walter,20.0,TOR,SG,44.0,11.0,20.0,2.8,7.0,0.405,1.0,3.2,0.312,1.8,3.8,0.482,0.476,1.1,1.5,0.746,1.0,1.9,2.9,1.3,0.7,0.2,0.9,1.8,7.8,,walteja01
259.0,Peyton Watson,22.0,DEN,SF,56.0,13.0,23.6,2.8,6.0,0.47,0.7,2.0,0.364,2.1,4.0,0.522,0.53,1.4,2.0,0.708,0.7,2.6,3.3,1.4,0.8,1.3,0.9,1.8,7.8,,watsope01
261.0,Dalano Banton,25.0,POR,PG,54.0,0.0,15.0,2.7,6.6,0.413,1.0,2.9,0.359,1.7,3.7,0.455,0.492,1.2,1.7,0.71,0.4,1.5,1.9,2.1,0.7,0.4,1.2,0.8,7.7,,bantoda01
