Player,Team,3PAr,2P%,eFG%,TS%,FTr,OWS,OBPM,USG%,AST%,TOV%,On-Off,STL%,BLK%,DBPM,TRB%,DWS,VORP,WS/48
Bobby Portis,MIL,-0.6120508374624622,-0.5101465757867406,-0.516391527143713,-0.675811102164885,-0.9870669767718061,-0.44699156060302503,0.536025370894791,1.2100652816416333,0.033946184366047814,-0.8926185268537049,0.037328874133954804,-0.6417257475895143,-0.023457264887507864,-0.408248251714561,1.6258137741965037,0.8545865415693482,0.2024104523939358,0.06024446788368305
Brandin Podziemski,GSW,0.24076170888310497,-0.23347544250904403,-0.6367520568145604,-0.7683466303672508,-0.566056349307758,0.0014623497075343496,-0.0989231371179228,-0.09700945295861223,0.7778634651249245,-0.4770269050392269,1.0407891883847498,0.42615895899355316,-0.6564906533183883,0.7141076676202405,-0.006624386740032331,0.7236590447760425,0.3413788226942499,0.13789758235371966
Brandon Clarke,MEM,-1.7691100219637452,1.300791751121817,1.3234051406820964,1.2119136731633742,0.01969756716396068,1.4365148627013242,0.3772882438916125,-0.5871624784337038,-0.8503328474794092,-0.8372063106117742,0.7466715100698615,0.42615895899355316,0.3793821641139616,0.6339393876677547,0.8640092990927869,0.7236590447760425,0.6193155632948782,1.516240364196868
Brice Sensabaugh,UTA,0.7939374146207702,-0.12029179707725911,0.49807579436771376,0.4531223419039751,-1.0053717866615473,-0.7160639067893606,0.16563874122070793,0.719912256166541,-0.2888858431330872,0.8528662847671029,-1.0180345598194676,-0.3366158314229236,-0.9442331026051521,-1.3702676111443908,-0.529004598239724,-1.1093259103302364,-0.631399769407949,-1.2986850353419561
CJ McCollum,NOP,0.13934616283119983,-0.5981783000114622,-0.3272535519466669,-0.47223294011968037,-0.48368470480392284,0.18084391383175805,1.0122367519043263,1.7819104780292399,0.974369916646137,-0.8926185268537049,0.3660486322505946,-0.946835663756105,-0.4262966938889772,-2.171950410669249,-0.8990239147186722,-1.3711809039168477,-0.21449465850700658,-1.104552249166865
Caleb Houstan,ORL,1.9832651819567504,-1.2772801726021712,-0.464808442999064,-0.5647684683220461,-1.0877434311653826,-0.7160639067893606,-1.5804696558142546,-1.322392016646342,-1.1872010500872023,-2.1116872841761736,-1.8657855149623805,-0.946835663756105,-0.8291361228904466,-0.3280799717620751,-1.2472773890518,-0.8474709167436252,-1.0483048803088912,-0.405674218936536
Cam Thomas,BRK,0.0056620339445973,-0.4975706151832089,-0.5851689726699114,0.008951806532619485,0.9623952764856332,-0.2676099964788012,1.8588347625879444,2.9460239135325836,1.3112381192539304,-0.366202472555366,-0.18758464457743032,-1.0993906218394005,-1.0017815924625049,-2.2521186906217348,-0.9207897568644928,-1.1093259103302364,-0.07552628820669241,-0.46391405478906345
Cameron Johnson,BRK,0.5542279421344488,0.3198668240463476,0.6700194081832102,1.1193781449610085,0.6512135083600323,2.3334226833224427,2.176309016594301,0.9445657261759584,0.49713996295176355,-0.5047330131601919,0.22764031304358834,-0.3366158314229236,-0.31119971417427167,-0.408248251714561,-0.572536282531365,0.06902156080951424,2.4259043771989623,0.7979490553490299
Cameron Payne,NYK,0.7155708563079342,-0.9503051969103486,-0.5679746112883618,-0.6387968908839388,-0.9230001421577118,0.0014623497075343496,0.536025370894791,0.6177970425258968,1.6902148471876977,-0.5601452294021222,1.1618964676908803,0.27360400091025766,-0.31119971417427167,-0.08757513190461763,-1.0513848097394156,-0.4546884263637082,0.06344208209362169,0.17672413958873795
Cason Wallace,OKC,0.042540414327108346,0.16895529680396906,-0.06933813122342235,-0.36119030627684146,-1.4355348190704658,0.18084391383175805,-0.6280468937951842,-1.1385846320931825,-0.3169581933504034,-0.44932079691826127,-0.6893148017028278,2.1042634979098023,-0.08100575474486069,1.9166318669075277,-0.7901947039895698,2.4257165030890158,0.8972523038955067,0.5844029905564299
