Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,TRB%,ORB%,DRB%,BLK%,STL%,TRB%,ORB,DRB,TRB,FTr,3PAr,STL,BLK,TOV,TOV%,USG%,PER,WS,WS/48,BPM,VORP,OBPM,DBPM,DWS,OWS,OnCourt,On-Off,2024-25,Guaranteed,BadPass,LostBall,OnCourt,2024-25_Payroll
Duncan Robinson,MIA,0.436,0.388,0.563,0.577,0.592,11.1,2.5,15.7,5.3,1.1,9.3,0.3,1.1,5.3,0.2,2.1,2.3,0.081,0.729,0.6,0.1,1.2,11.3,19.2,11.8,2.1,0.065,-2.0,0.0,-0.9,-1.2,1.1,1.1,0.4,4.0,$19406000,$29294000,46,17,0.4,173088172
Dyson Daniels,ATL,0.485,0.345,0.532,0.528,0.537,14.1,4.3,17.6,9.0,5.0,13.3,2.0,4.2,9.0,1.6,4.0,5.6,0.161,0.252,3.0,0.7,1.9,12.9,18.2,15.3,4.0,0.089,1.2,1.7,-1.4,2.6,3.1,0.9,-1.6,1.5,$6059520,$13767229,72,35,-1.6,167769541
Elfrid Payton,NOP,0.5,0.0,0.511,0.5,0.501,6.7,6.9,48.7,9.0,3.6,14.7,2.4,3.4,9.0,0.7,2.7,3.4,0.043,0.022,1.4,0.4,2.9,29.9,19.6,14.7,0.0,0.008,-2.1,0.0,-2.3,0.6,0.2,-0.1,-4.9,4.3,$514753,$274809,22,4,-4.9,170268065
Fred VanVleet,HOU,0.382,0.34,0.447,0.485,0.515,14.1,5.7,22.1,6.0,1.8,10.5,1.2,2.3,6.0,0.6,3.4,4.0,0.166,0.603,1.6,0.5,1.5,9.8,17.7,13.3,4.6,0.126,1.3,1.5,-0.3,1.5,2.5,2.1,5.9,3.3,$42846615,$42846615,46,17,5.9,167805430
Gabe Vincent,LAL,0.399,0.345,0.531,0.521,0.527,6.1,1.4,9.1,3.1,1.3,4.9,0.9,1.7,3.1,0.2,0.9,1.2,0.049,0.707,0.7,0.2,0.6,9.0,13.1,7.2,1.0,0.04,-4.2,-0.7,-4.3,0.1,0.9,0.1,0.8,-2.4,$11000000,$22500000,23,3,0.8,188022153
Garrison Mathews,ATL,0.4,0.394,0.432,0.567,0.611,7.6,1.3,9.6,5.7,1.7,10.0,1.6,1.5,5.7,0.3,1.6,1.8,0.314,0.849,0.6,0.3,0.6,9.4,16.0,11.7,1.5,0.094,-1.4,0.1,-0.9,-0.5,0.5,1.0,-4.0,-2.4,$2230253,$2230253,15,6,-4.0,167769541
Gary Harris,ORL,0.37,0.329,0.5,0.495,0.503,3.0,0.6,5.1,4.8,3.2,6.5,1.8,1.9,4.8,0.5,0.8,1.3,0.1,0.76,0.6,0.3,0.3,10.3,9.3,6.6,0.7,0.058,-2.7,-0.1,-4.0,1.4,0.7,0.0,1.8,4.4,$7500000,$7500000,5,2,1.8,150359238
Gary Payton II,GSW,0.578,0.322,0.702,0.631,0.641,6.5,1.3,13.5,10.4,5.9,15.2,1.9,2.6,10.4,0.8,2.1,2.9,0.142,0.325,0.8,0.3,0.6,10.4,16.1,16.5,2.8,0.16,1.5,0.7,-0.3,1.8,1.3,1.5,7.9,6.7,$9130000,$9130000,15,4,7.9,175759694
Gary Trent Jr.,MIL,0.435,0.415,0.471,0.569,0.588,10.6,1.1,6.5,5.0,1.2,8.5,0.2,1.9,5.0,0.3,2.0,2.3,0.118,0.643,1.0,0.1,0.6,6.3,16.9,11.4,2.6,0.082,-1.8,0.1,-1.5,-0.3,1.4,1.1,0.0,-3.3,$2087519,$2087519,10,16,0.0,182600201
Goga Bitadze,ORL,0.624,0.13,0.667,0.629,0.643,7.5,2.0,14.6,18.6,12.2,25.7,6.9,1.6,18.6,2.4,4.5,6.9,0.39,0.079,0.7,1.5,1.1,16.1,14.3,19.2,4.9,0.19,2.5,1.4,-0.3,2.8,2.5,2.4,0.9,4.5,$9057971,$25000000,19,13,0.9,150359238
