Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
379,Gui Santos,22,GSW,PF,44,2,13.9,1.6,3.3,.483,0.7,1.8,.370,0.9,1.4,.629,.587,0.5,0.8,.706,1.2,2.0,3.2,1.4,0.4,0.2,0.8,1.7,4.4,,santogu01
380,Mo Bamba,26,2TM,C,32,2,12.9,1.6,3.5,.464,0.5,1.7,.278,1.2,1.8,.638,.531,0.6,0.8,.704,1.0,3.5,4.5,0.6,0.3,1.0,0.6,1.8,4.3,,bambamo01
380,Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,.466,0.5,1.8,.300,1.2,1.9,.623,.539,0.6,0.9,.680,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,4.6,,bambamo01
380,Mo Bamba,26,NOP,C,4,0,15.3,1.0,2.3,.444,0.0,1.0,.000,1.0,1.3,.800,.444,0.5,0.5,1.000,1.5,4.8,6.3,0.5,0.0,0.8,0.3,1.8,2.5,,bambamo01
381,Jaylen Clark,23,MIN,SG,28,4,14.3,1.5,3.3,.446,0.6,1.5,.405,0.9,1.8,.480,.538,0.7,0.9,.769,0.8,0.5,1.3,0.7,1.1,0.0,0.1,1.6,4.3,,clarkja02
382,Micah Potter,26,UTA,C,31,10,17.6,1.5,3.4,.425,0.9,2.5,.354,0.5,0.9,.630,.557,0.5,0.5,.875,1.1,3.1,4.2,0.8,0.3,0.4,0.8,1.3,4.3,,pottemi01
383,Trevelin Queen,27,ORL,SG,28,2,13.8,1.6,4.6,.352,0.6,2.4,.242,1.0,2.2,.468,.414,0.5,0.6,.882,0.8,0.8,1.6,1.2,1.0,0.4,0.8,1.3,4.3,,queentr01
384,Antonio Reeves,24,NOP,SG,32,0,10.6,1.6,3.8,.415,0.8,2.1,.358,0.8,1.8,.482,.512,0.3,0.4,.846,0.4,0.7,1.1,0.7,0.3,0.1,0.5,0.5,4.3,,reevean01
385,Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,.473,0.2,1.0,.243,1.4,2.4,.565,.508,0.8,1.0,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,,theisda01
386,Alex Reese,25,2TM,PF,9,0,12.9,1.6,3.1,.500,0.8,2.2,.350,0.8,0.9,.875,.625,0.3,0.6,.600,0.7,2.1,2.8,0.2,0.8,0.9,0.4,1.4,4.2,,reeseal01
386,Alex Reese,25,OKC,PF,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,reeseal01
386,Alex Reese,25,PHI,PF,8,0,14.3,1.6,3.4,.481,0.9,2.5,.350,0.8,0.9,.857,.611,0.4,0.6,.600,0.6,2.4,3.0,0.3,0.9,1.0,0.5,1.6,4.5,,reeseal01
387,Pat Connaughton,32,MIL,SG,32,0,14.5,1.6,3.7,.427,0.6,1.9,.323,0.9,1.7,.545,.513,0.5,0.6,.789,0.5,2.0,2.6,1.6,0.2,0.3,0.6,1.1,4.2,,connapa01
388,Kessler Edwards,24,DAL,SF,38,16,15.0,1.7,3.4,.492,0.5,1.3,.380,1.2,2.1,.563,.565,0.3,0.3,.923,0.6,2.3,2.9,1.1,0.5,0.5,0.4,1.5,4.2,,edwarke02
389,Lamar Stevens,27,MEM,PF,9,0,10.8,1.4,3.6,.406,0.6,1.7,.333,0.9,1.9,.471,.484,0.8,1.0,.778,0.3,2.9,3.2,0.6,0.4,0.3,0.7,1.1,4.2,,stevela01
390,Dalen Terry,22,CHI,SG,61,3,12.5,1.5,3.3,.470,0.4,1.2,.338,1.1,2.1,.548,.533,0.7,1.0,.689,0.5,0.9,1.4,1.2,0.5,0.2,0.6,1.4,4.2,,terryda01
391,Jarred Vanderbilt,25,LAL,PF,23,2,16.9,1.7,3.3,.500,0.4,1.2,.333,1.3,2.1,.592,.559,0.5,1.0,.478,1.7,3.5,5.2,1.3,1.0,0.3,0.7,1.8,4.2,,vandeja01
392,Elfrid Payton,30,2TM,PG,13,5,20.5,2.0,5.2,.388,0.0,0.1,.000,2.0,5.1,.394,.388,0.1,0.2,.500,0.5,2.4,2.8,5.2,1.2,0.5,2.1,1.7,4.1,,paytoel01
392,Elfrid Payton,30,NOP,PG,7,3,20.6,3.3,6.6,.500,0.0,0.1,.000,3.3,6.4,.511,.500,0.1,0.3,.500,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7,,paytoel01
392,Elfrid Payton,30,CHO,PG,6,2,20.5,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.0,0.0,,0.2,2.0,2.2,3.3,1.0,0.5,1.2,2.0,1.0,,paytoel01
393,Jett Howard,21,ORL,SF,55,0,11.2,1.5,4.2,.357,0.9,3.0,.295,0.6,1.2,.516,.463,0.3,0.4,.750,0.4,0.8,1.2,0.7,0.2,0.2,0.5,1.0,4.1,,howarje01
394,Kris Murray,24,POR,SF,57,3,14.2,1.7,3.8,.442,0.4,1.6,.247,1.3,2.2,.578,.493,0.3,0.8,.413,1.1,1.4,2.5,0.9,0.5,0.2,0.6,0.9,4.1,,murrakr01
395,Paul Reed,25,DET,C,38,0,9.2,1.6,3.0,.535,0.2,0.6,.318,1.4,2.4,.587,.566,0.7,0.9,.794,0.9,1.7,2.6,0.9,0.9,0.5,0.5,1.5,4.1,,reedpa01
396,Landry Shamet,27,NYK,SG,35,0,12.6,1.6,3.4,.467,0.7,1.9,.368,0.9,1.5,.596,.571,0.1,0.3,.556,0.2,0.9,1.0,0.5,0.5,0.1,0.4,0.9,4.1,,shamela01
397,Adem Bona,21,PHI,C,47,2,12.4,1.5,2.2,.683,0.0,0.0,,1.5,2.2,.683,.683,1.0,1.4,.682,1.3,2.0,3.3,0.3,0.3,0.9,0.7,1.9,4.0,,bonaad01
398,Malachi Flynn,26,CHO,PG,4,0,11.0,1.3,3.3,.385,0.3,1.0,.250,1.0,2.3,.444,.423,1.3,1.5,.833,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,4.0,,flynnma01
399,Kevin Knox,25,GSW,SF,7,0,7.3,1.6,3.4,.458,0.4,1.6,.273,1.1,1.9,.615,.521,0.4,0.6,.750,0.9,0.7,1.6,0.6,0.1,0.6,0.1,0.7,4.0,,knoxke01
400,Jock Landale,29,HOU,C,36,1,10.6,1.6,3.2,.483,0.2,0.5,.412,1.4,2.8,.495,.513,0.7,1.0,.686,1.3,1.8,3.1,0.8,0.2,0.3,0.4,1.1,4.0,,landajo01
401,Pelle Larsson,23,MIA,SG,45,2,13.1,1.4,3.2,.441,0.5,1.6,.319,0.9,1.6,.562,.521,0.6,1.0,.674,0.4,1.1,1.5,0.9,0.4,0.1,0.4,1.7,4.0,,larsspe01
402,Kyle Lowry,38,PHI,PG,33,12,18.9,1.2,3.4,.351,0.8,2.5,.337,0.3,0.8,.393,.477,0.8,1.0,.818,0.3,1.6,2.0,2.8,0.9,0.3,0.6,1.8,4.0,,lowryky01
403,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,,richajo01
404,Colin Castleton,24,2TM,C,17,3,14.3,1.4,3.0,.451,0.1,0.5,.125,1.3,2.5,.512,.461,1.2,1.4,.833,1.8,2.3,4.1,0.8,0.2,0.5,1.0,1.6,3.9,,castlco01
404,Colin Castleton,24,MEM,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,,castlco01
404,Colin Castleton,24,TOR,C,7,3,28.1,3.0,5.9,.512,0.1,0.6,.250,2.9,5.3,.541,.524,1.4,1.9,.769,4.0,4.7,8.7,2.0,0.3,1.0,2.3,3.0,7.6,,castlco01
405,Wendell Moore Jr.,23,2TM,SG,30,1,12.6,1.5,3.2,.469,0.3,0.9,.321,1.2,2.3,.529,.516,0.6,0.7,.818,0.8,1.8,2.6,1.1,0.5,0.1,0.6,0.8,3.9,,moorewe01
405,Wendell Moore Jr.,23,DET,SG,20,1,11.0,1.2,2.5,.460,0.2,0.7,.286,1.0,1.8,.528,.500,0.7,0.7,.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,,moorewe01
405,Wendell Moore Jr.,23,CHO,SG,10,0,15.8,2.2,4.6,.478,0.5,1.4,.357,1.7,3.2,.531,.533,0.5,0.8,.625,1.4,2.0,3.4,1.1,0.4,0.1,0.8,1.0,5.4,,moorewe01
406,Dominick Barlow,21,ATL,SF,23,3,9.7,1.6,3.3,.493,0.2,0.8,.278,1.4,2.5,.561,.527,0.5,0.7,.647,0.6,1.3,1.9,0.4,0.3,0.6,0.1,1.0,3.9,,barlodo01
407,Nicolas Batum,36,LAC,PF,67,8,18.0,1.3,3.1,.413,1.1,2.6,.411,0.2,0.5,.424,.587,0.2,0.3,.833,0.7,2.2,2.9,1.2,0.7,0.5,0.4,1.5,3.9,,batumni01
408,Malaki Branham,21,SAS,SG,38,0,8.2,1.4,3.2,.438,0.6,1.6,.407,0.8,1.6,.468,.537,0.5,0.6,.818,0.1,0.9,1.0,0.7,0.2,0.1,0.8,0.4,3.9,,branhma01
409,Devin Carter,22,SAC,PG,24,0,9.6,1.3,3.3,.380,0.5,1.6,.308,0.8,1.7,.450,.456,0.9,1.5,.611,0.5,1.7,2.2,1.2,0.4,0.1,0.5,0.9,3.9,,cartede02
410,Dariq Whitehead,20,BRK,SF,10,0,5.9,1.3,2.7,.481,1.2,2.3,.522,0.1,0.4,.250,.704,0.1,0.3,.333,0.1,0.5,0.6,0.1,0.3,0.1,0.6,0.2,3.9,,whiteda01
411,Olivier-Maxence Prosper,22,DAL,PF,52,4,11.2,1.3,3.3,.402,0.2,1.0,.235,1.1,2.4,.472,.437,0.9,1.5,.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9,,prospol01
412,Reed Sheppard,20,HOU,PG,45,1,11.9,1.4,4.4,.332,0.7,2.5,.279,0.8,1.9,.400,.411,0.3,0.4,.813,0.4,1.0,1.4,1.2,0.6,0.3,0.6,0.9,3.9,,sheppre01
413,Ousmane Dieng,21,OKC,C,37,1,10.9,1.5,3.4,.432,0.6,1.9,.324,0.8,1.5,.574,.524,0.3,0.4,.688,0.5,1.7,2.2,0.8,0.5,0.2,0.5,0.9,3.8,,diengou01
414,Isaac Jones,24,SAC,PF,30,0,8.4,1.5,2.2,.672,0.1,0.2,.333,1.4,2.0,.705,.687,0.7,1.1,.618,0.6,0.9,1.5,0.3,0.1,0.3,0.4,0.9,3.8,,jonesis01
415,Jevon Carter,29,CHI,PG,30,0,7.6,1.3,3.2,.402,0.8,2.3,.357,0.5,0.9,.519,.531,0.3,0.3,.800,0.1,0.9,0.9,1.0,0.3,0.1,0.3,0.4,3.7,,carteje01
416,Patty Mills,36,2TM,PG,25,0,11.9,1.2,3.4,.349,0.8,2.7,.313,0.4,0.8,.474,.471,0.3,0.4,.889,0.1,0.7,0.8,1.0,0.5,0.1,0.7,0.8,3.6,,millspa02
416,Patty Mills,36,UTA,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,,millspa02
416,Patty Mills,36,LAC,PG,8,0,4.8,0.5,1.3,.400,0.5,1.3,.400,0.0,0.0,,.600,0.4,0.5,.750,0.0,0.0,0.0,0.5,0.1,0.0,0.1,0.9,1.9,,millspa02
417,AJ Johnson,20,2TM,SG,14,1,10.7,1.4,3.4,.404,0.4,1.4,.300,0.9,1.9,.481,.468,0.4,0.6,.750,0.1,1.4,1.5,1.9,0.3,0.1,0.9,0.6,3.6,,johnsaj01
417,AJ Johnson,20,MIL,SG,7,0,6.3,1.1,2.7,.421,0.4,0.7,.600,0.7,2.0,.357,.500,0.1,0.3,.500,0.0,1.0,1.0,1.0,0.1,0.0,0.6,0.0,2.9,,johnsaj01
417,AJ Johnson,20,WAS,SG,7,1,15.1,1.6,4.0,.393,0.4,2.1,.200,1.1,1.9,.615,.446,0.7,0.9,.833,0.1,1.9,2.0,2.7,0.4,0.1,1.1,1.1,4.3,,johnsaj01
