Player,Team,FG%,3P%,2P%,eFG%,TS%,PTS,AST,AST%,ORB,DRB,TRB,ORB%,DRB%,STL,BLK,STL%,BLK%,DBPM,TOV,TOV%,USG%,BPM,WS/48,VORP,PER
Deandre Ayton,POR,0.566,0.188,0.594,0.573,0.583,14.4,1.6,8.6,3.1,7.1,10.2,11.0,25.9,0.8,1.0,1.2,3.0,-0.5,1.7,12.2,19.5,-0.8,0.111,0.4,17.8
Derrick Jones Jr.,LAC,0.528,0.363,0.62,0.593,0.61,10.5,0.8,4.5,1.3,2.2,3.5,5.7,10.0,1.1,0.4,2.1,1.6,0.6,0.9,9.4,16.6,-0.5,0.117,0.6,13.7
Dillon Brooks,HOU,0.42,0.393,0.45,0.522,0.546,14.0,1.8,7.6,1.1,2.8,3.9,3.6,9.3,0.8,0.2,1.2,0.6,0.0,1.0,7.3,17.6,-1.6,0.103,0.2,10.7
Donte DiVincenzo,MIN,0.418,0.395,0.484,0.565,0.581,11.7,3.8,20.8,0.5,3.2,3.7,2.1,13.1,1.3,0.2,2.3,0.8,1.1,1.5,13.3,19.0,2.0,0.118,1.4,14.2
Duncan Robinson,MIA,0.436,0.388,0.563,0.577,0.592,11.1,2.5,15.7,0.2,2.1,2.3,1.1,9.3,0.6,0.1,1.1,0.3,-1.2,1.2,11.3,19.2,-2.0,0.065,0.0,11.8
Dyson Daniels,ATL,0.485,0.345,0.532,0.528,0.537,14.1,4.3,17.6,1.6,4.0,5.6,5.0,13.3,3.0,0.7,4.2,2.0,2.6,1.9,12.9,18.2,1.2,0.089,1.7,15.3
Elfrid Payton,NOP,0.5,0.0,0.511,0.5,0.501,6.7,6.9,48.7,0.7,2.7,3.4,3.6,14.7,1.4,0.4,3.4,2.4,0.6,2.9,29.9,19.6,-2.1,0.008,0.0,14.7
Fred VanVleet,HOU,0.382,0.34,0.447,0.485,0.515,14.1,5.7,22.1,0.6,3.4,4.0,1.8,10.5,1.6,0.5,2.3,1.2,1.5,1.5,9.8,17.7,1.3,0.126,1.5,13.3
Gabe Vincent,LAL,0.399,0.345,0.531,0.521,0.527,6.1,1.4,9.1,0.2,0.9,1.2,1.3,4.9,0.7,0.2,1.7,0.9,0.1,0.6,9.0,13.1,-4.2,0.04,-0.7,7.2
Garrison Mathews,ATL,0.4,0.394,0.432,0.567,0.611,7.6,1.3,9.6,0.3,1.6,1.8,1.7,10.0,0.6,0.3,1.5,1.6,-0.5,0.6,9.4,16.0,-1.4,0.094,0.1,11.7
Gary Harris,ORL,0.37,0.329,0.5,0.495,0.503,3.0,0.6,5.1,0.5,0.8,1.3,3.2,6.5,0.6,0.3,1.9,1.8,1.4,0.3,10.3,9.3,-2.7,0.058,-0.1,6.6
Gary Payton II,GSW,0.578,0.322,0.702,0.631,0.641,6.5,1.3,13.5,0.8,2.1,2.9,5.9,15.2,0.8,0.3,2.6,1.9,1.8,0.6,10.4,16.1,1.5,0.16,0.7,16.5
Gary Trent Jr.,MIL,0.435,0.415,0.471,0.569,0.588,10.6,1.1,6.5,0.3,2.0,2.3,1.2,8.5,1.0,0.1,1.9,0.2,-0.3,0.6,6.3,16.9,-1.8,0.082,0.1,11.4
Goga Bitadze,ORL,0.624,0.13,0.667,0.629,0.643,7.5,2.0,14.6,2.4,4.5,6.9,12.2,25.7,0.7,1.5,1.6,6.9,2.8,1.1,16.1,14.3,2.5,0.19,1.4,19.2
Gradey Dick,TOR,0.41,0.35,0.47,0.498,0.543,14.4,1.8,9.0,0.8,2.8,3.6,3.0,10.3,0.9,0.2,1.5,0.6,-1.5,1.5,10.4,21.1,-3.3,0.038,-0.5,11.0
Guerschon Yabusele,PHI,0.497,0.391,0.599,0.593,0.616,10.5,2.0,11.0,1.9,3.7,5.6,7.6,16.6,0.8,0.4,1.5,1.3,-1.0,1.3,13.1,16.0,-1.2,0.098,0.3,14.2
Gui Santos,GSW,0.483,0.37,0.629,0.587,0.608,4.4,1.4,13.6,1.2,2.0,3.2,9.0,16.0,0.4,0.2,1.4,1.4,0.4,0.8,18.6,13.4,-1.7,0.112,0.1,11.9
Harrison Barnes,SAS,0.507,0.432,0.584,0.616,0.648,11.8,1.7,8.5,1.4,2.5,3.9,5.3,9.8,0.4,0.2,0.6,0.6,-1.9,0.6,6.0,15.1,-0.5,0.113,0.7,14.3
Haywood Highsmith,MIA,0.466,0.388,0.575,0.579,0.592,6.3,1.4,8.0,0.8,2.3,3.1,3.8,10.4,0.9,0.6,1.9,2.2,0.9,0.7,12.1,11.2,-2.1,0.082,0.0,9.8
Herbert Jones,NOP,0.436,0.306,0.53,0.5,0.541,10.3,3.3,13.8,1.1,2.8,3.9,3.5,9.6,1.9,0.5,2.8,1.3,0.2,1.8,15.6,14.6,-3.7,0.034,-0.3,10.4
Isaac Okoro,CLE,0.44,0.372,0.538,0.549,0.564,5.5,1.4,8.8,0.9,1.4,2.2,5.2,7.6,0.6,0.4,1.5,1.7,0.7,0.5,8.8,12.1,-0.7,0.104,0.3,9.8
Isaiah Hartenstein,OKC,0.578,0.0,0.601,0.578,0.596,11.4,3.9,18.4,2.9,8.2,11.1,11.3,30.3,0.8,1.0,1.3,3.6,2.4,1.7,15.5,16.9,2.9,0.202,1.7,18.8
Isaiah Jackson,IND,0.609,,0.609,0.609,0.6,7.0,1.0,8.1,2.2,3.4,5.6,14.9,22.6,0.6,1.6,1.7,8.6,1.7,1.0,14.6,17.6,0.6,0.148,0.1,18.3
Jabari Smith Jr.,HOU,0.431,0.349,0.51,0.517,0.554,12.2,1.0,4.6,1.9,4.8,6.7,6.2,16.9,0.4,0.8,0.6,2.4,0.1,1.0,8.6,16.0,-1.0,0.114,0.4,12.1
Jabari Walker,POR,0.506,0.383,0.569,0.571,0.591,4.7,0.6,7.6,1.0,2.5,3.5,8.7,23.8,0.6,0.1,2.3,0.9,0.5,0.5,10.8,15.8,-0.6,0.129,0.2,15.0
Jaden Ivey,DET,0.46,0.409,0.49,0.536,0.569,17.6,4.0,19.7,1.3,2.8,4.1,5.0,10.2,0.9,0.4,1.5,1.2,-0.8,3.0,16.1,26.0,-0.1,0.067,0.4,14.8
Jae'Sean Tate,HOU,0.459,0.316,0.515,0.504,0.539,3.6,0.9,10.0,1.0,1.3,2.3,9.2,12.7,0.5,0.1,2.2,1.0,1.4,0.4,10.9,13.5,-1.1,0.131,0.1,12.0
Jaime Jaquez Jr.,MIA,0.445,0.298,0.497,0.484,0.532,8.7,2.6,17.6,1.2,3.3,4.6,6.3,16.7,1.0,0.2,2.2,0.9,0.5,1.5,15.5,19.8,-1.5,0.067,0.1,13.5
Jakob Poeltl,TOR,0.616,0.333,0.618,0.617,0.632,14.2,2.8,14.8,3.3,6.3,9.6,12.0,23.1,1.2,1.2,2.0,3.8,1.2,1.9,14.6,18.5,1.8,0.151,1.5,19.7
Jalen Duren,DET,0.696,,0.696,0.696,0.708,11.4,2.6,14.1,3.4,6.8,10.3,14.7,28.9,0.7,1.2,1.3,4.3,1.7,1.8,18.1,16.0,2.9,0.217,2.1,21.0
Jalen Pickett,DEN,0.423,0.377,0.48,0.527,0.532,3.3,1.8,19.2,0.2,0.9,1.1,1.7,8.9,0.3,0.1,1.3,0.7,-0.9,0.5,13.2,13.7,-2.6,0.059,-0.1,9.9
Jalen Smith,CHI,0.463,0.332,0.633,0.556,0.59,8.2,1.0,9.1,1.4,4.2,5.6,9.6,28.5,0.3,0.7,0.8,4.1,-0.7,0.6,7.9,20.8,0.5,0.141,0.6,18.4
Jalen Williams,OKC,0.478,0.362,0.528,0.532,0.568,21.3,5.3,24.0,0.9,4.6,5.5,2.8,14.8,1.7,0.7,2.4,2.2,1.5,2.2,10.5,27.3,4.0,0.167,3.0,20.2
Jalen Wilson,BRK,0.396,0.321,0.495,0.487,0.534,9.1,1.8,10.6,1.0,2.2,3.2,4.2,10.4,0.5,0.0,1.0,0.2,-1.4,1.1,11.1,16.3,-4.4,0.038,-1.1,9.0
Jamal Shead,TOR,0.415,0.335,0.478,0.489,0.507,6.3,3.8,28.6,0.3,1.0,1.3,2.0,5.9,0.6,0.1,1.6,0.8,-1.2,1.5,19.5,17.6,-4.6,0.014,-0.7,9.0
Jamison Battle,TOR,0.437,0.407,0.526,0.59,0.6,6.1,0.8,7.6,0.6,1.6,2.2,4.4,12.1,0.1,0.2,0.4,1.1,-1.6,0.3,6.4,15.6,-1.4,0.083,0.1,11.3
Jarace Walker,IND,0.454,0.365,0.545,0.546,0.562,5.6,1.4,11.3,0.4,2.6,2.9,2.7,18.3,0.8,0.4,2.5,2.0,0.9,1.1,17.9,16.7,-1.8,0.041,0.1,10.8
Jaren Jackson Jr.,MEM,0.5,0.365,0.561,0.557,0.6,22.5,2.1,10.8,1.3,4.5,5.8,4.7,15.8,1.3,1.6,2.0,5.0,1.0,2.1,10.3,28.4,3.1,0.157,2.3,20.7
Javonte Green,NOP,0.446,0.352,0.534,0.531,0.64,5.8,0.9,11.3,1.0,2.6,3.6,6.7,23.2,1.1,0.6,2.4,2.6,0.4,0.6,10.0,21.4,4.1,0.214,0.1,20.4
Jaxson Hayes,LAL,0.716,0.0,0.725,0.716,0.731,6.8,1.1,8.2,1.4,3.3,4.7,8.4,18.4,0.6,1.0,1.5,4.9,1.8,0.8,14.5,12.2,0.4,0.176,0.5,16.3
Jaylen Nowell,NOP,0.356,0.296,0.391,0.411,0.43,8.4,2.3,15.5,0.8,1.8,2.5,3.7,9.3,0.1,0.5,0.3,2.3,-2.6,1.0,9.3,21.5,-5.8,-0.067,-0.2,7.6
Jaylin Williams,OKC,0.399,0.341,0.54,0.52,0.535,5.1,2.3,17.4,1.1,4.3,5.3,7.0,27.7,0.4,0.7,1.2,4.1,2.5,0.7,12.1,14.2,2.9,0.168,0.8,14.5
Jeremiah Robinson-Earl,NOP,0.458,0.336,0.564,0.536,0.566,5.7,1.2,9.2,1.5,2.9,4.4,9.1,18.4,0.6,0.1,1.6,0.7,-1.4,0.6,11.0,13.8,-2.4,0.076,-0.1,13.1
Jeremy Sochan,SAS,0.555,0.342,0.606,0.588,0.607,11.5,2.4,14.2,2.4,4.3,6.7,10.1,18.1,0.8,0.5,1.6,1.8,-0.3,1.6,14.4,18.7,-0.5,0.106,0.4,16.5
Jett Howard,ORL,0.357,0.295,0.516,0.463,0.477,4.1,0.7,10.2,0.4,0.8,1.2,3.5,8.9,0.2,0.2,1.0,1.6,-0.9,0.5,10.2,18.8,-4.5,0.015,-0.4,7.4
Jock Landale,HOU,0.483,0.412,0.495,0.513,0.544,4.0,0.8,10.1,1.3,1.8,3.1,12.5,18.4,0.2,0.3,0.9,2.1,0.4,0.4,10.9,15.8,-0.4,0.139,0.2,14.6
John Collins,UTA,0.527,0.399,0.577,0.583,0.628,19.0,2.0,10.8,2.2,6.0,8.2,8.0,20.8,1.0,1.0,1.5,3.1,-0.3,2.6,14.6,24.1,1.1,0.107,1.0,19.0
John Konchar,MEM,0.44,0.346,0.652,0.56,0.579,2.5,0.9,8.5,0.8,2.5,3.4,7.4,21.5,0.5,0.4,1.7,2.6,1.6,0.4,15.1,8.2,0.6,0.12,0.3,11.2
Jonathan Kuminga,GSW,0.455,0.331,0.499,0.498,0.536,16.3,2.3,14.2,1.3,3.4,4.8,5.4,14.7,0.9,0.5,1.6,1.9,-0.1,1.6,9.3,27.5,-0.1,0.082,0.4,16.0
Jonathan Mogbo,TOR,0.442,0.298,0.478,0.472,0.507,5.3,1.6,12.2,1.6,2.6,4.2,9.3,15.7,0.8,0.5,2.0,2.7,0.8,0.9,14.5,14.1,-1.9,0.069,0.0,11.5
Jordan Clarkson,UTA,0.41,0.367,0.448,0.496,0.542,16.5,3.8,22.9,0.7,2.5,3.2,3.0,10.1,0.9,0.2,1.6,0.8,-2.0,2.2,12.7,27.5,-1.0,0.041,0.2,15.1
Jordan Hawkins,NOP,0.371,0.332,0.425,0.468,0.5,10.6,1.1,7.1,0.5,2.2,2.6,2.0,10.4,0.6,0.4,1.2,1.8,-2.9,1.0,8.5,20.8,-5.3,-0.019,-1.0,9.7
Jordan Poole,WAS,0.424,0.377,0.49,0.534,0.582,20.8,4.6,25.3,0.5,2.7,3.2,1.7,9.3,1.4,0.5,2.2,1.3,-1.4,3.2,15.1,28.7,0.2,0.043,0.9,16.2
Jose Alvarado,NOP,0.399,0.374,0.441,0.516,0.537,9.6,4.6,27.3,0.4,1.9,2.3,1.9,8.7,1.4,0.2,2.7,1.0,-0.3,1.1,11.2,17.8,-0.5,0.075,0.4,14.2
Josh Giddey,CHI,0.462,0.376,0.511,0.53,0.566,13.8,6.7,31.6,1.7,6.0,7.7,6.1,20.7,1.1,0.6,1.7,1.9,0.8,2.8,18.4,21.0,2.2,0.106,1.9,17.1
Julian Champagnie,SAS,0.415,0.361,0.559,0.546,0.572,9.6,1.3,7.9,0.8,3.0,3.8,3.7,13.7,0.8,0.4,1.6,1.7,-0.9,0.9,9.5,16.9,-1.4,0.059,0.2,12.0
Julian Phillips,CHI,0.443,0.333,0.568,0.532,0.571,4.6,0.5,4.5,0.9,1.2,2.1,6.9,8.6,0.5,0.3,1.6,1.7,-0.6,0.4,8.2,13.2,-3.1,0.078,-0.3,10.4
