Rk,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
54,Naz Reid,25,MIN,C,69,17,1926,0,0,0,41,59,6.9,6.0,41,31,121,11,62,5,384,18,36,,reidna01
55,Payton Pritchard,27,BOS,PG,68,0,1914,100,1,0,0,0,8.6,0.7,26,18,37,6,20,6,562,6,31,,pritcpa01
56,Tyus Jones,28,PHO,PG,68,57,1908,98,2,0,0,0,-2.3,-2.7,62,10,27,3,16,12,969,3,24,,jonesty01
57,Nikola Vučević,34,CHI,C,60,59,1906,0,0,0,0,100,-4.0,-2.6,49,26,93,12,61,3,517,20,32,,vucevni01
58,Stephen Curry,36,GSW,PG,59,59,1904,100,0,0,0,0,4.3,3.6,122,27,44,9,89,7,838,26,41,,curryst01
59,Giannis Antetokounmpo,30,MIL,PF,56,56,1904,0,0,0,70,30,5.6,9.2,64,54,60,29,285,3,882,74,70,,antetgi01
60,Malik Beasley,28,DET,SG,69,14,1891,17,74,9,0,0,3.1,1.4,40,25,51,6,43,7,284,12,25,,beaslma01
61,Chris Paul,39,SAS,PG,67,67,1885,100,0,0,0,0,-0.9,4.6,78,16,57,3,12,2,1269,1,8,,paulch01
62,Shaedon Sharpe,21,POR,SG,61,41,1858,0,74,24,1,0,-5.9,-4.3,57,50,40,8,94,4,395,28,43,,sharpsh01
63,Trey Murphy III,24,NOP,SF,53,51,1854,0,8,48,44,0,-10.2,-2.6,46,43,56,6,104,10,449,26,29,,murphtr02
64,Julius Randle,30,MIN,PF,57,57,1843,0,0,0,94,6,3.9,-0.9,64,53,63,32,139,2,676,26,55,,randlju01
65,Bennedict Mathurin,22,IND,SF,61,46,1842,0,12,86,2,0,1.4,0.5,45,45,77,17,123,8,278,23,53,,mathube01
66,Harrison Barnes,32,SAS,PF,67,67,1828,0,0,27,71,2,-2.8,0.0,24,9,36,4,82,3,277,12,24,,barneha02
