Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
272,Kris Murray,24,POR,SF,57,3,811,9.9,.491,.410,.212,7.9,11.0,9.5,8.6,1.9,1.4,11.9,13.9,0.1,0.6,0.7,.041,-2.5,0.0,-2.5,-0.1,,murrakr01
273,Dalano Banton,25,POR,PG,54,0,809,14.3,.524,.438,.261,2.6,10.9,6.7,21.3,2.2,2.7,13.7,23.8,0.1,0.8,0.9,.052,0.4,0.0,0.4,0.5,,bantoda01
274,Jusuf Nurkić,30,2TM,C,38,27,805,14.3,.553,.338,.400,9.3,32.9,21.4,14.3,2.1,3.0,21.0,19.4,-0.1,1.2,1.1,.066,-3.1,0.9,-2.2,0.0,,nurkiju01
274,Jusuf Nurkić,30,PHO,C,25,23,592,12.6,.556,.362,.423,9.0,32.9,21.5,10.9,1.9,2.5,22.8,18.7,-0.3,0.8,0.6,.046,-3.9,0.6,-3.3,-0.2,,nurkiju01
274,Jusuf Nurkić,30,CHO,C,13,4,213,19.1,.546,.286,.351,10.2,33.0,21.2,23.5,2.5,4.2,16.8,21.2,0.1,0.4,0.5,.120,-0.9,1.8,0.9,0.2,,nurkiju01
275,Isaac Okoro,24,CLE,SG,42,20,793,9.8,.564,.585,.161,5.2,7.6,6.4,8.8,1.5,1.7,8.8,12.1,0.9,0.8,1.7,.104,-1.4,0.7,-0.7,0.3,,okorois01
276,Garrison Mathews,28,ATL,SG,45,2,786,11.7,.611,.849,.314,1.7,10.0,5.7,9.6,1.5,1.6,9.4,16.0,1.0,0.5,1.5,.094,-0.9,-0.5,-1.4,0.1,,mathega01
277,Khris Middleton,33,2TM,SF,34,18,785,17.3,.602,.397,.248,1.6,15.8,8.9,27.6,1.9,0.9,13.4,21.7,1.3,0.8,2.1,.131,0.7,0.5,1.2,0.6,,middlkh01
277,Khris Middleton,33,MIL,SF,23,7,534,17.8,.627,.408,.218,1.0,15.5,8.6,28.8,1.5,0.9,13.8,21.9,1.1,0.6,1.7,.153,1.6,0.5,2.0,0.5,,middlkh01
277,Khris Middleton,33,WAS,SF,11,11,251,16.3,.550,.374,.313,2.9,16.2,9.5,25.2,2.8,1.1,12.4,21.4,0.2,0.2,0.4,.085,-1.3,0.6,-0.7,0.1,,middlkh01
278,KJ Martin,24,2TM,PF,37,15,785,10.8,.646,.265,.259,4.0,12.2,8.1,6.5,1.0,2.8,10.6,11.3,1.0,0.3,1.4,.083,-2.9,0.0,-2.9,-0.2,,martike04
278,KJ Martin,24,PHI,PF,24,7,480,12.4,.689,.212,.293,4.8,12.7,8.6,5.7,1.1,3.3,9.7,11.3,0.9,0.2,1.1,.111,-2.0,0.3,-1.7,0.0,,martike04
278,KJ Martin,24,UTA,SF,13,8,305,8.4,.581,.343,.209,2.9,11.6,7.3,7.7,0.8,1.9,12.0,11.4,0.2,0.1,0.2,.038,-4.4,-0.5,-4.8,-0.2,,martike04
279,Kawhi Leonard,33,LAC,SF,26,26,781,18.5,.562,.317,.179,3.8,15.9,9.9,16.3,2.5,1.5,10.7,28.2,0.4,1.2,1.6,.099,1.1,0.0,1.1,0.6,,leonaka01
280,Cam Thomas,23,BRK,SG,25,23,781,18.2,.575,.430,.333,2.1,10.4,6.1,22.8,1.0,0.3,10.6,32.6,0.9,0.3,1.2,.076,2.9,-2.7,0.2,0.4,,thomaca02
281,Lonzo Ball,27,CHI,PG,35,14,777,12.2,.524,.802,.111,3.4,12.4,7.9,19.2,2.8,1.9,13.9,15.9,0.3,0.9,1.2,.072,-1.6,1.6,-0.1,0.4,,balllo01
282,Thomas Bryant,27,2TM,C,51,6,775,17.6,.614,.444,.180,10.2,19.9,15.1,9.0,1.4,3.7,8.7,17.3,1.5,0.9,2.4,.148,0.9,-0.2,0.8,0.5,,bryanth01
282,Thomas Bryant,27,MIA,C,10,0,115,15.8,.624,.607,.393,5.8,24.7,15.3,4.9,0.4,7.5,5.7,13.5,0.2,0.2,0.4,.165,-1.1,1.0,-0.2,0.1,,bryanth01
282,Thomas Bryant,27,IND,C,41,6,660,17.9,.613,.425,.155,11.0,19.1,15.1,9.7,1.5,3.0,9.1,18.0,1.3,0.7,2.0,.145,1.3,-0.4,0.9,0.5,,bryanth01
283,Vasilije Micić,31,2TM,PG,38,16,771,6.8,.462,.458,.150,2.7,9.8,6.2,24.5,1.0,0.0,20.3,20.0,-1.1,0.3,-0.8,-0.051,-4.4,-2.4,-6.8,-0.9,,micicva01
283,Vasilije Micić,31,CHO,PG,36,16,764,6.8,.462,.458,.150,2.7,9.6,6.1,24.7,1.0,0.0,20.3,20.2,-1.1,0.3,-0.8,-0.051,-4.4,-2.4,-6.8,-0.9,,micicva01
283,Vasilije Micić,31,PHO,PG,2,0,7,3.6,,,,0.0,30.4,15.9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,.029,-7.5,1.7,-5.9,0.0,,micicva01
284,Eric Gordon,36,PHI,SG,39,13,768,10.9,.591,.672,.235,1.1,5.9,3.4,12.0,1.7,1.6,11.1,14.4,0.7,0.2,0.9,.057,-0.7,-0.9,-1.6,0.1,,gordoer01
285,Dereck Lively II,20,DAL,C,32,25,768,20.5,.704,.000,.390,14.2,21.1,17.7,15.4,1.1,6.0,15.8,13.8,2.3,0.9,3.3,.204,1.4,2.3,3.7,1.1,,livelde01
286,Immanuel Quickley,25,TOR,PG,27,27,766,17.0,.575,.511,.319,1.5,12.3,6.9,29.5,1.0,0.4,10.4,24.7,1.5,0.4,1.9,.121,2.9,-1.2,1.7,0.7,,quickim01
287,Dalen Terry,22,CHI,SG,61,3,762,10.0,.562,.370,.305,4.3,7.7,6.0,12.7,1.9,1.6,14.7,14.6,0.4,0.6,0.9,.058,-3.7,0.1,-3.7,-0.3,,terryda01
288,Neemias Queta,25,BOS,C,53,6,762,15.4,.668,.017,.311,11.0,18.6,14.8,6.3,1.0,4.2,15.2,13.6,1.5,1.1,2.6,.165,-2.2,0.7,-1.5,0.1,,quetane01
289,Aaron Nesmith,25,IND,SF,31,23,762,13.7,.639,.512,.196,3.3,13.5,8.4,7.8,1.3,1.4,8.1,16.8,1.2,0.6,1.8,.111,-0.4,-0.8,-1.3,0.1,,nesmiaa01
290,Zach Collins,27,2TM,PF,50,12,761,15.9,.594,.370,.294,10.8,18.6,14.7,15.2,1.6,2.9,13.7,17.1,1.4,0.7,2.1,.133,-0.8,1.0,0.2,0.4,,colliza01
290,Zach Collins,27,SAS,C,36,4,425,14.4,.566,.348,.265,9.6,15.8,12.7,16.8,1.6,3.1,13.5,17.1,0.6,0.3,1.0,.110,-1.5,1.3,-0.2,0.2,,colliza01
290,Zach Collins,27,CHI,PF,14,8,336,17.9,.627,.398,.330,12.3,22.2,17.3,13.1,1.7,2.6,13.9,17.0,0.7,0.4,1.1,.162,0.2,0.6,0.8,0.2,,colliza01
291,Andre Drummond,31,PHI,C,40,23,751,16.1,.535,.085,.385,15.9,32.0,23.6,6.8,2.6,2.4,16.7,19.2,0.2,1.1,1.3,.083,-2.3,-0.8,-3.1,-0.2,,drumman01
292,Shake Milton,28,2TM,SG,50,1,750,12.8,.588,.442,.228,3.7,10.2,7.0,19.2,1.5,0.4,12.4,16.4,1.0,0.5,1.5,.096,-1.1,-0.2,-1.3,0.1,,miltosh01
292,Shake Milton,28,BRK,SG,27,1,492,12.9,.580,.459,.210,3.6,8.5,5.9,20.5,1.5,0.2,10.4,17.0,0.7,0.3,1.0,.095,-0.7,-0.3,-1.0,0.1,,miltosh01
292,Shake Milton,28,LAL,SG,23,0,258,12.7,.607,.403,.269,4.0,13.5,8.9,16.6,1.5,0.7,16.7,15.3,0.3,0.2,0.5,.099,-1.9,0.0,-1.9,0.0,,miltosh01
293,Kyle Anderson,31,2TM,PF,50,4,746,14.6,.526,.268,.214,6.0,16.7,11.3,20.9,2.0,3.0,10.3,15.6,0.9,1.1,2.0,.129,-0.5,2.2,1.7,0.7,,anderky01
293,Kyle Anderson,31,GSW,PF,36,3,541,14.8,.522,.308,.160,5.2,16.8,10.8,21.1,2.3,3.5,10.0,15.6,0.6,0.9,1.5,.131,-0.2,2.5,2.3,0.6,,anderky01
293,Kyle Anderson,31,MIA,SF,14,1,205,14.1,.537,.145,.382,8.1,16.5,12.4,20.5,1.2,1.9,11.1,15.7,0.3,0.2,0.5,.124,-1.2,1.3,0.1,0.1,,anderky01
294,Oso Ighodaro,22,PHO,PF,48,2,719,10.9,.607,.016,.325,6.6,17.5,12.3,9.0,1.4,2.7,16.3,10.6,0.6,0.5,1.2,.078,-3.1,0.6,-2.5,-0.1,,ighodos01
295,Cam Whitmore,20,HOU,SF,44,1,714,14.3,.522,.460,.186,4.5,15.2,9.7,8.4,1.9,1.5,8.9,23.9,0.3,1.1,1.4,.093,-0.1,-0.2,-0.3,0.3,,whitmca01
