Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
526,Taze Moore,26,POR,SG,2,0,20,4.9,24.3,.200,2.4,9.7,.250,2.4,14.6,.167,.250,2.4,4.9,.500,9.7,9.7,19.4,2.4,4.9,0.0,4.9,0.0,14.6,73,107,,mooreta02
527,N'Faly Dante,23,HOU,C,1,0,19,10.2,15.4,.667,0.0,0.0,,10.2,15.4,.667,.667,5.1,7.7,.667,10.2,12.8,23.1,2.6,0.0,5.1,2.6,10.2,25.6,139,105,,nfalyda01
528,David Duke Jr.,25,SAS,SG,4,0,18,5.4,18.8,.286,0.0,2.7,.000,5.4,16.1,.333,.286,2.7,5.4,.500,0.0,8.0,8.0,8.0,0.0,0.0,2.7,2.7,13.4,77,121,,dukeda01
529,Bobi Klintman,21,DET,SF,6,0,17,0.0,5.6,.000,0.0,2.8,.000,0.0,2.8,.000,.000,0.0,0.0,,0.0,11.3,11.3,2.8,0.0,2.8,2.8,5.6,0.0,22,111,,klintbo01
530,Lester Quiñones,24,PHI,SG,4,0,17,11.6,23.3,.500,0.0,8.7,.000,11.6,14.5,.800,.500,2.9,2.9,1.000,8.7,2.9,11.6,2.9,0.0,0.0,11.6,0.0,26.2,84,125,,quinole01
531,Harrison Ingram,22,SAS,SF,3,0,17,2.8,8.5,.333,0.0,2.8,.000,2.8,5.7,.500,.333,0.0,0.0,,2.8,11.4,14.2,2.8,2.8,0.0,0.0,5.7,5.7,103,113,,ingraha01
532,Yuri Collins,23,GSW,PG,2,0,16,3.0,9.1,.333,0.0,0.0,,3.0,9.1,.333,.333,0.0,0.0,,6.1,3.0,9.1,12.1,6.1,0.0,0.0,15.2,6.1,141,105,,colliyu01
533,Trentyn Flowers,19,LAC,SF,2,0,16,12.3,27.7,.444,0.0,6.1,.000,12.3,21.5,.571,.444,3.1,3.1,1.000,3.1,9.2,12.3,0.0,0.0,0.0,3.1,9.2,27.7,92,115,,flowetr01
534,Tristen Newton,23,2TM,SG,8,0,16,3.0,24.3,.125,0.0,9.1,.000,3.0,15.2,.200,.125,3.0,3.0,1.000,6.1,6.1,12.2,6.1,3.0,0.0,6.1,12.2,9.1,55,111,,newtotr01
534,Tristen Newton,23,IND,SG,5,0,8,6.0,36.1,.167,0.0,18.0,.000,6.0,18.0,.333,.167,6.0,6.0,1.000,0.0,0.0,0.0,6.0,0.0,0.0,6.0,12.0,18.0,52,124,,newtotr01
534,Tristen Newton,23,MIN,SG,3,0,8,0.0,12.3,.000,0.0,0.0,,0.0,12.3,.000,.000,0.0,0.0,,12.3,12.3,24.6,6.2,6.2,0.0,6.2,12.3,0.0,61,99,,newtotr01
535,Nae'Qwan Tomlin,24,CLE,PF,3,0,14,13.7,27.4,.500,0.0,6.9,.000,13.7,20.6,.667,.500,6.9,10.3,.667,3.4,17.1,20.6,0.0,0.0,0.0,3.4,6.9,34.3,102,110,,tomlina01
536,Daishen Nix,22,MIN,PG,3,0,13,0.0,3.8,.000,0.0,3.8,.000,0.0,0.0,,.000,3.8,7.6,.500,0.0,15.1,15.1,11.4,0.0,0.0,15.1,3.8,3.8,44,111,,nixda01
537,Cole Swider,25,DET,SF,2,0,13,0.0,18.4,.000,0.0,18.4,.000,0.0,0.0,,.000,0.0,0.0,,0.0,7.4,7.4,3.7,0.0,0.0,0.0,3.7,0.0,15,117,,swideco01
538,Skal Labissière,28,SAC,PF,4,0,12,8.1,16.2,.500,4.0,4.0,1.000,4.0,12.1,.333,.625,0.0,0.0,,4.0,8.1,12.1,4.0,0.0,0.0,0.0,4.0,20.2,143,120,,labissk01
539,Cui Yongxi,21,BRK,SG,5,0,10,5.0,35.0,.143,0.0,15.0,.000,5.0,20.0,.250,.143,5.0,10.0,.500,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,15.0,45,119,,cuiyo01
540,Daniss Jenkins,23,DET,PG,5,0,10,0.0,19.2,.000,0.0,19.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.8,9.6,0.0,0,121,,jenkida01
541,Keion Brooks Jr.,24,NOP,SF,2,0,10,4.8,9.7,.500,0.0,4.8,.000,4.8,4.8,1.000,.500,9.7,19.4,.500,4.8,9.7,14.5,4.8,0.0,0.0,0.0,4.8,19.4,131,123,,brookke02
542,Quincy Olivari,23,LAL,PG,2,0,10,4.9,24.6,.200,4.9,24.6,.200,0.0,0.0,,.300,0.0,0.0,,0.0,0.0,0.0,4.9,0.0,0.0,4.9,0.0,14.7,62,123,,olivaqu01
543,Jalen McDaniels,27,WAS,SF,4,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,6.8,6.8,0.0,0.0,0.0,0.0,233,113,,mcdanja01
544,Anton Watson,24,NYK,SF,2,0,7,7.1,28.3,.250,0.0,0.0,,7.1,28.3,.250,.250,0.0,0.0,,0.0,0.0,0.0,14.1,0.0,0.0,7.1,0.0,14.1,65,124,,watsoan02
545,Riley Minix,24,SAS,SF,1,0,7,0.0,6.9,.000,0.0,6.9,.000,0.0,0.0,,.000,0.0,0.0,,0.0,13.8,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0,118,,minixri01
546,Jesse Edwards,24,MIN,C,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,9.8,0.0,0.0,0.0,19.7,0.0,237,120,,edwarje01
547,Jamaree Bouyea,25,MIL,PG,1,0,5,9.6,9.6,1.000,0.0,0.0,,9.6,9.6,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,9.6,9.6,0.0,9.6,0.0,19.3,103,100,,bouyeja01
548,Mac McClung,26,ORL,SG,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,10.0,10.0,19.9,0.0,0.0,0.0,0.0,0.0,229,114,,mccluma01
549,James Wiseman,23,IND,C,1,0,5,19.2,38.5,.500,0.0,9.6,.000,19.2,28.9,.667,.500,19.2,19.2,1.000,0.0,9.6,9.6,0.0,0.0,0.0,0.0,0.0,57.7,127,119,,wisemja01
550,Miles Norris,24,BOS,PF,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,24.9,24.9,0.0,0.0,0.0,0.0,0.0,0.0,,105,,norrimi01
551,Alondes Williams,25,DET,SG,1,0,4,24.0,24.0,1.000,12.0,12.0,1.000,12.0,12.0,1.000,1.250,0.0,0.0,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,60.0,246,121,,willial06
552,Zyon Pullin,23,MEM,SG,3,0,3,0.0,15.4,.000,0.0,0.0,,0.0,15.4,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,123,,pullizy01
553,Jahlil Okafor,29,IND,C,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,230,114,,okafoja01
554,Emanuel Miller,24,CHI,PF,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,125,,milleem01
555,Jahmir Young,24,CHI,PG,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,23.3,23.3,23.3,0.0,0.0,0.0,0.0,0.0,236,111,,youngja05
,League Average,,,,,,,,,.466,,,.359,,,.544,.541,,,.781,,,,,,,,,,,,,-9999
