Player,ORtg,DRtg,NRtg,On-Off,WS,BPM,NRtg/A,PG%,SG%,SF%,PF%,C%,3PAr,FTr
Chris Paul,119.67,107.3,12.37,4.6,5.1,1.0,12.42,100,0,0,0,0,0.652,0.177
Christian Braun,119.67,107.3,12.37,11.9,6.7,0.2,12.42,3,68,29,0,0,0.27,0.266
Chuma Okeke,119.67,107.3,12.37,-1.5,0.1,-1.2,12.42,0,0,3,62,35,0.667,0.0
Clint Capela,119.67,107.3,12.37,-1.4,3.2,-1.2,12.42,0,0,0,0,100,0.003,0.249
Coby White,119.67,107.3,12.37,-5.3,2.8,-1.7,12.42,29,57,14,0,0,0.545,0.238
Cody Martin,119.67,107.3,12.37,10.1,1.4,-1.1,12.42,0,27,63,10,0,0.462,0.181
Cody Williams,119.67,107.3,12.37,-7.7,-0.6,-6.4,12.42,3,36,60,2,0,0.514,0.187
Colby Jones,119.67,107.3,12.37,-0.2,0.1,-3.7,12.42,3,51,46,0,0,0.4,0.0
Cole Anthony,119.67,107.3,12.37,-0.2,1.5,-0.4,12.42,100,0,0,0,0,0.384,0.209
Collin Sexton,119.67,107.3,12.37,6.3,2.0,-0.9,12.42,21,76,3,0,0,0.322,0.289
Corey Kispert,119.67,107.3,12.37,4.7,1.2,-3.7,12.42,0,0,30,69,1,0.584,0.156
Cory Joseph,119.67,107.3,12.37,-1.0,0.6,-2.1,12.42,77,23,0,0,0,0.659,0.099
Craig Porter Jr.,119.67,107.3,12.37,-12.6,1.0,2.0,12.42,77,23,0,0,0,0.359,0.163
D'Angelo Russell,119.67,107.3,12.37,2.0,2.1,-0.1,12.42,100,0,0,0,0,0.559,0.229
DaQuan Jeffries,119.67,107.3,12.37,-1.4,0.5,-4.8,12.42,0,4,66,29,1,0.575,0.091
Daishen Nix,119.67,107.3,12.37,24.0,-0.1,-16.3,12.42,100,0,0,0,0,1.0,2.0
Dalano Banton,119.67,107.3,12.37,3.2,0.9,0.4,12.42,66,34,0,0,0,0.438,0.261
Dalen Terry,119.67,107.3,12.37,-10.6,0.9,-3.7,12.42,1,29,64,6,0,0.37,0.305
Dalton Knecht,119.67,107.3,12.37,-7.6,2.5,-2.0,12.42,0,36,54,10,0,0.615,0.151
Damian Lillard,119.67,107.3,12.37,-3.7,7.8,3.8,12.42,100,0,0,0,0,0.528,0.396
Damion Lee,119.67,107.3,12.37,7.4,-0.1,-5.8,12.42,0,54,40,6,0,0.5,0.315
Daniel Gafford,119.67,107.3,12.37,3.4,5.4,3.7,12.42,0,0,0,1,99,0.0,0.478
Daniel Theis,119.67,107.3,12.37,3.7,1.0,-3.3,12.42,0,0,0,0,100,0.287,0.287
Dante Exum,119.67,107.3,12.37,-8.4,0.7,-2.0,12.42,91,9,0,0,0,0.376,0.248
Dario Šarić,119.67,107.3,12.37,-15.4,0.0,-4.9,12.42,0,0,0,4,96,0.464,0.179
Dariq Whitehead,119.67,107.3,12.37,2.0,0.0,4.2,12.42,0,9,61,24,7,0.852,0.111
Darius Garland,119.67,107.3,12.37,0.5,7.4,3.6,12.42,100,0,0,0,0,0.454,0.226
David Roddy,119.67,107.3,12.37,-6.0,0.5,-1.0,12.42,0,0,6,83,11,0.482,0.196
Davion Mitchell,119.67,107.3,12.37,1.8,1.5,-3.6,12.42,94,6,0,0,0,0.464,0.169
Day'Ron Sharpe,119.67,107.3,12.37,10.9,2.6,0.7,12.42,0,0,0,0,100,0.134,0.248
De'Aaron Fox,119.67,107.3,12.37,-1.7,4.4,0.3,12.42,80,20,0,0,0,0.328,0.273
De'Andre Hunter,119.67,107.3,12.37,0.8,3.7,0.3,12.42,0,0,44,56,0,0.51,0.373
De'Anthony Melton,119.67,107.3,12.37,12.0,0.2,-0.8,12.42,52,38,10,0,0,0.648,0.148
DeAndre Jordan,119.67,107.3,12.37,-8.2,1.3,-1.7,12.42,0,0,0,0,100,0.0,0.349
DeMar DeRozan,119.67,107.3,12.37,2.3,6.0,0.1,12.42,0,5,85,9,0,0.188,0.337
Dean Wade,119.67,107.3,12.37,3.2,2.5,0.5,12.42,0,0,22,66,12,0.819,0.113
Deandre Ayton,119.67,107.3,12.37,-4.5,2.8,-0.8,12.42,0,0,0,0,100,0.068,0.128
Dejounte Murray,119.67,107.3,12.37,-1.5,0.2,-1.6,12.42,22,76,2,0,0,0.352,0.251
Delon Wright,119.67,107.3,12.37,0.3,0.3,-2.4,12.42,83,16,1,0,0,0.6,0.235
Deni Avdija,119.67,107.3,12.37,1.4,4.0,0.9,12.42,0,25,54,20,1,0.412,0.456
Dennis Schröder,119.67,107.3,12.37,-0.4,2.9,-1.7,12.42,84,16,0,0,0,0.463,0.234
Dereck Lively II,119.67,107.3,12.37,11.1,3.3,3.7,12.42,0,0,0,0,100,0.0,0.39
Derrick Jones Jr.,119.67,107.3,12.37,4.4,3.9,-0.5,12.42,0,1,27,69,2,0.36,0.198
Derrick White,119.67,107.3,12.37,0.6,7.0,3.3,12.42,14,77,9,0,0,0.707,0.168
Desmond Bane,119.67,107.3,12.37,-1.9,5.5,3.3,12.42,4,65,28,3,0,0.399,0.204
Devin Booker,119.67,107.3,12.37,-1.5,6.2,0.8,12.42,0,45,50,5,0,0.407,0.361
Devin Carter,119.67,107.3,12.37,-3.7,0.4,-1.9,12.42,91,9,0,0,0,0.494,0.456
Devin Vassell,119.67,107.3,12.37,-9.3,1.6,-1.7,12.42,0,49,49,2,0,0.467,0.141
Dillon Brooks,119.67,107.3,12.37,0.1,4.5,-1.6,12.42,1,36,59,4,0,0.518,0.139
Dillon Jones,119.67,107.3,12.37,-11.3,0.4,-4.8,12.42,0,5,34,39,22,0.516,0.211
Domantas Sabonis,119.67,107.3,12.37,7.7,8.5,5.2,12.42,0,0,0,1,99,0.182,0.328
Donovan Clingan,119.67,107.3,12.37,2.5,2.7,-0.8,12.42,0,0,0,0,100,0.122,0.31
Donovan Mitchell,119.67,107.3,12.37,3.4,6.6,3.6,12.42,45,55,0,0,0,0.487,0.26
Donte DiVincenzo,119.67,107.3,12.37,2.6,3.3,2.0,12.42,69,31,0,0,0,0.747,0.114
Dorian Finney-Smith,119.67,107.3,12.37,12.8,2.1,-1.7,12.42,0,4,38,56,2,0.694,0.114
Doug McDermott,119.67,107.3,12.37,1.8,0.3,-4.5,12.42,0,3,55,41,1,0.857,0.055
Draymond Green,119.67,107.3,12.37,8.6,3.2,0.9,12.42,0,0,8,70,22,0.462,0.321
Drew Eubanks,119.67,107.3,12.37,-4.1,1.6,-0.5,12.42,0,0,0,38,62,0.034,0.379
Duncan Robinson,119.67,107.3,12.37,4.0,2.1,-2.0,12.42,1,32,56,11,0,0.729,0.081
Duop Reath,119.67,107.3,12.37,-2.6,0.6,-0.3,12.42,0,0,0,1,99,0.701,0.154
Dwight Powell,119.67,107.3,12.37,-3.0,1.4,0.4,12.42,0,0,0,1,100,0.043,0.804
Dyson Daniels,119.67,107.3,12.37,1.5,4.0,1.2,12.42,0,53,43,4,0,0.252,0.161
E.J. Liddell,119.67,107.3,12.37,11.5,0.1,-2.1,12.42,0,0,0,0,100,0.8,0.2
Elfrid Payton,119.67,107.3,12.37,-2.8,-0.2,-5.4,12.42,76,24,0,0,0,0.015,0.03
Eric Gordon,119.67,107.3,12.37,-0.9,0.9,-1.6,12.42,1,80,19,1,0,0.672,0.235
Evan Mobley,119.67,107.3,12.37,5.7,7.8,4.6,12.42,0,0,0,49,51,0.235,0.341
Franz Wagner,119.67,107.3,12.37,12.7,4.4,3.1,12.42,0,1,64,34,0,0.296,0.283
Fred VanVleet,119.67,107.3,12.37,3.3,4.6,1.3,12.42,92,9,0,0,0,0.603,0.166
GG Jackson II,119.67,107.3,12.37,-15.6,0.3,-4.3,12.42,0,0,24,63,13,0.506,0.216
Gabe Vincent,119.67,107.3,12.37,-2.4,1.0,-4.2,12.42,79,21,0,0,0,0.707,0.049
Garrett Temple,119.67,107.3,12.37,2.0,0.0,-4.6,12.42,26,52,22,0,0,0.488,0.244
Garrison Mathews,119.67,107.3,12.37,-2.4,1.5,-1.4,12.42,6,73,21,0,0,0.849,0.314
Gary Harris,119.67,107.3,12.37,4.4,0.7,-2.7,12.42,9,65,24,2,0,0.76,0.1
Gary Payton II,119.67,107.3,12.37,6.7,2.8,1.5,12.42,23,73,4,0,0,0.325,0.142
Gary Trent Jr.,119.67,107.3,12.37,-3.3,2.6,-1.8,12.42,3,53,44,1,0,0.643,0.118
