Player,2024-25,2025-26,Guaranteed
Jaylin Williams,$2019699,$2187451,$2019699
Jaylon Tyson,$3326160,$3492480,$6818640
Jayson Tatum,$34848340,$54126450,$277334836
Jeff Green,$8000000,,$8000000
Jerami Grant,$29793104,$32000001,$96000003
Jeremiah Robinson-Earl,$2196970,,$2196970
Jeremy Sochan,$5570040,$7096231,$12666271
Jericho Sims,$2092344,,$2092344
Jett Howard,$5278320,$5529720,$10808040
Jevon Carter,$6500000,$6809524,$6500000
Jimmy Butler,$48798677,$54126450,$159757900
Jock Landale,$8000000,$8000000,$16000000
Joe Ingles,$2087519,,$2087519
Joel Embiid,$51415938,$55224526,$227250828
John Collins,$26580000,$26580000,$26580000
John Konchar,$6165000,$6165000,$18495000
Johnny Davis,$5291160,,$5291160
Johnny Furphy,$1850842,$1955377,$6102490
Johnny Juzang,$3087519,$2840518,$3087519
Jonas Valančiūnas,$9900000,$10395000,$20295000
Jonathan Isaac,$25000000,$15000000,$69000000
Jonathan Kuminga,$7636307,,$7636307
Jonathan Mogbo,$1862265,$1955377,$3817642
Jordan Clarkson,$14092577,$14285714,$28378291
Jordan Hawkins,$4525680,$4741320,$9267000
Jordan McLaughlin,$2087519,,$2087519
Jordan Poole,$29651786,$31848215,$95544643
Jordan Walsh,$1891857,$2221677,$2091857
Jose Alvarado,$1988598,$4500000,$6488598
Josh Giddey,$8352367,,$8352367
Josh Green,$12654321,$13666667,$41000000
Josh Hart,$18144000,$19472240,$58540000
Josh Minott,$2019699,$2187451,$2019699
Josh Okogie,$8250000,$7750000,$8250000
Josh Richardson,$3051153,,$3051153
Jrue Holiday,$30000000,$32400000,$97200000
Julian Champagnie,$3000000,$3000000,$3000000
Julian Phillips,$1891857,$2221677,$4113534
Julian Strawther,$2552520,$2674200,$5226720
Julius Randle,$33073920,$30935520,$33073920
Justin Edwards,$425619,$1955377,$425619
Jusuf Nurkić,$18125000,$19375000,$37500000
KJ Martin,$7975000,$8025000,$7975000
Karl-Anthony Towns,$49205800,$53142264,$159426792
Karlo Matković,$1407153,$1955377,$3362530
Kawhi Leonard,$49205800,$50000000,$149505800
