Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Tyrese Maxey,24,PHI,PG,52,52,37.7,9.2,21.0,.437,3.1,9.2,.337,6.1,11.8,.515,.511,4.9,5.6,.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,
Anthony Davis,31,2TM,PF,43,43,34.2,9.5,18.0,.528,0.7,2.2,.313,8.8,15.8,.559,.548,6.0,7.6,.786,2.9,9.1,12.0,3.4,1.3,2.2,2.2,1.9,25.7,
Anthony Davis,31,LAL,C,42,42,34.3,9.5,18.0,.528,0.7,2.2,.298,8.9,15.8,.560,.546,6.0,7.6,.788,2.8,9.0,11.9,3.4,1.3,2.1,2.2,2.0,25.7,
Anthony Davis,31,DAL,PF,1,1,31.0,10.0,18.0,.556,2.0,2.0,1.000,8.0,16.0,.500,.611,4.0,6.0,.667,4.0,12.0,16.0,7.0,0.0,3.0,1.0,0.0,26.0,
Devin Booker,28,PHO,SG,63,63,37.4,8.5,18.7,.457,2.6,7.6,.347,5.9,11.1,.532,.527,6.0,6.7,.894,1.0,3.1,4.1,7.0,1.0,0.2,2.8,2.7,25.7,
Cade Cunningham,23,DET,PG,64,64,35.1,9.5,20.5,.461,2.1,6.1,.350,7.3,14.4,.508,.513,4.6,5.3,.861,0.8,5.3,6.0,9.3,1.0,0.7,4.5,2.8,25.6,
LaMelo Ball,23,CHO,PG,44,44,32.1,8.7,21.5,.402,3.8,11.5,.335,4.8,10.1,.477,.491,4.2,5.0,.837,1.0,4.1,5.1,7.2,1.2,0.3,3.5,3.3,25.4,
Paolo Banchero,22,ORL,PF,35,35,34.1,8.6,19.4,.444,1.9,5.9,.325,6.7,13.5,.496,.493,6.0,8.4,.713,1.1,6.1,7.2,4.7,0.8,0.7,2.8,2.1,25.1,
Damian Lillard,34,MIL,PG,57,57,36.1,7.7,17.1,.450,3.4,9.0,.379,4.3,8.1,.529,.550,6.3,6.8,.925,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,25.1,
LeBron James,40,LAL,SF,58,58,34.9,9.6,18.5,.517,2.3,5.9,.384,7.3,12.6,.580,.579,3.6,4.7,.770,1.0,7.2,8.2,8.5,0.9,0.6,3.9,1.5,25.0,
Kyrie Irving,32,DAL,SG,50,50,36.1,8.9,18.9,.473,2.9,7.2,.401,6.1,11.7,.517,.549,3.9,4.3,.916,1.2,3.6,4.8,4.6,1.3,0.5,2.2,2.0,24.7,
Zion Williamson,24,NOP,PF,29,29,28.5,9.5,17.0,.561,0.1,0.4,.231,9.4,16.5,.570,.564,5.3,8.0,.659,2.6,4.7,7.3,5.2,1.2,0.9,3.0,2.7,24.4,
Stephen Curry,36,GSW,PG,59,59,32.3,8.0,17.9,.444,4.4,11.2,.394,3.5,6.7,.529,.568,3.9,4.2,.935,0.5,3.8,4.4,6.1,1.1,0.4,2.9,1.4,24.3,
Karl-Anthony Towns,29,NYK,C,60,60,35.0,8.8,16.7,.526,2.1,4.9,.428,6.7,11.8,.567,.589,4.6,5.5,.834,3.1,10.0,13.0,3.1,1.0,0.8,2.6,3.6,24.3,
Franz Wagner,23,ORL,SF,49,49,33.7,9.0,19.3,.463,1.7,5.7,.299,7.2,13.6,.532,.507,4.7,5.5,.858,1.0,4.6,5.6,4.7,1.3,0.4,2.4,2.6,24.3,
Victor Wembanyama,21,SAS,C,46,46,33.2,8.9,18.6,.476,3.1,8.8,.352,5.8,9.9,.586,.559,3.4,4.1,.836,1.8,9.2,11.0,3.7,1.1,3.8,3.2,2.3,24.3,
Donovan Mitchell,28,CLE,SG,61,61,31.3,8.4,18.7,.448,3.5,9.1,.380,4.9,9.6,.512,.540,4.0,4.8,.820,0.8,3.6,4.4,4.8,1.3,0.2,2.1,2.0,24.2,
Cam Thomas,23,BRK,SG,25,23,31.2,8.0,18.2,.438,2.7,7.8,.349,5.2,10.4,.506,.513,5.3,6.0,.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,1.8,24.0,
Trae Young,26,ATL,PG,63,63,36.2,7.3,18.2,.404,2.7,8.5,.325,4.6,9.7,.472,.479,6.5,7.5,.872,0.5,2.7,3.2,11.5,1.1,0.2,4.8,2.0,24.0,
Joel Embiid,30,PHI,C,19,19,30.2,7.4,16.6,.444,1.2,4.1,.299,6.2,12.5,.492,.481,7.8,8.9,.882,1.9,6.3,8.2,4.5,0.7,0.9,3.3,2.2,23.8,
Zach LaVine,29,2TM,SF,60,60,34.8,8.5,16.5,.516,3.2,7.2,.444,5.3,9.3,.571,.613,3.4,4.1,.823,0.3,4.2,4.5,4.3,0.9,0.2,2.9,1.5,23.6,
Zach LaVine,29,CHI,SF,42,42,34.1,8.6,16.9,.511,3.2,7.3,.446,5.4,9.6,.560,.607,3.5,4.3,.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24.0,
Zach LaVine,29,SAC,SG,18,18,36.5,8.2,15.5,.527,3.1,7.1,.441,5.1,8.4,.599,.627,3.3,3.7,.894,0.3,3.5,3.8,3.8,0.8,0.1,2.8,1.3,22.7,
De'Aaron Fox,27,2TM,PG,62,62,36.1,8.7,18.8,.463,1.9,6.1,.310,6.8,12.6,.538,.514,4.2,5.1,.827,0.9,3.9,4.8,6.3,1.5,0.4,2.8,2.6,23.5,
De'Aaron Fox,27,SAC,PG,45,45,37.0,9.2,19.6,.469,2.0,6.4,.322,7.2,13.3,.539,.521,4.5,5.5,.829,1.0,4.0,5.0,6.1,1.5,0.4,3.0,2.6,25.0,
De'Aaron Fox,27,SAS,PG,17,17,34.0,7.4,16.5,.446,1.5,5.6,.274,5.8,10.9,.535,.493,3.5,4.2,.819,0.5,3.8,4.3,6.8,1.5,0.3,2.4,2.7,19.7,
Tyler Herro,25,MIA,SG,65,65,35.5,8.3,18.1,.460,3.4,9.3,.367,4.9,8.8,.559,.554,3.5,4.1,.860,0.4,4.9,5.3,5.7,0.9,0.2,2.6,1.2,23.5,
Norman Powell,31,LAC,SG,47,47,32.8,8.1,16.6,.490,3.2,7.7,.422,4.9,9.0,.547,.587,3.9,4.7,.821,0.4,3.1,3.4,2.1,1.3,0.2,2.0,1.8,23.4,
Jaylen Brown,28,BOS,SF,56,56,35.3,8.5,18.4,.459,1.8,5.8,.316,6.6,12.6,.525,.509,4.0,5.3,.757,1.4,4.6,6.1,4.7,1.3,0.3,2.6,2.5,22.8,
James Harden,35,LAC,PG,65,65,35.0,6.5,16.4,.398,3.0,8.7,.346,3.5,7.8,.455,.489,6.4,7.4,.872,0.7,5.2,5.9,8.7,1.5,0.6,4.5,2.0,22.5,
Jaren Jackson Jr.,25,MEM,C,62,62,29.4,8.1,16.3,.500,1.9,5.1,.365,6.3,11.2,.561,.557,4.4,5.6,.777,1.3,4.5,5.8,2.1,1.3,1.6,2.1,3.4,22.5,
Ja Morant,25,MEM,PG,43,43,30.0,7.7,17.0,.449,1.5,5.3,.291,6.1,11.8,.520,.494,5.5,6.6,.834,0.6,3.5,4.1,7.4,1.2,0.3,3.7,2.2,22.3,
DeMar DeRozan,35,SAC,SF,62,62,35.8,8.1,16.6,.486,1.1,3.1,.356,7.0,13.5,.517,.520,4.9,5.6,.873,0.6,3.4,4.0,4.1,0.9,0.4,1.4,1.9,22.2,
Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,.465,2.4,6.4,.374,6.2,12.1,.514,.530,2.6,3.1,.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
RJ Barrett,24,TOR,SF,52,52,32.9,8.0,17.0,.472,1.9,5.3,.359,6.2,11.8,.523,.528,3.5,5.4,.649,1.0,5.4,6.5,5.7,0.8,0.3,3.0,2.5,21.5,
Jamal Murray,27,DEN,PG,61,61,36.4,7.9,16.7,.474,2.4,6.0,.397,5.5,10.7,.518,.546,3.3,3.7,.889,0.7,3.1,3.8,6.1,1.4,0.5,2.1,1.9,21.5,
Jalen Green,22,HOU,SG,69,69,33.4,7.6,17.8,.425,3.0,8.4,.357,4.6,9.4,.485,.509,3.3,3.9,.830,0.6,4.0,4.6,3.4,0.9,0.3,2.6,1.6,21.4,
Jalen Williams,23,OKC,SG,61,61,32.6,8.1,16.9,.478,1.8,5.0,.362,6.3,11.9,.528,.532,3.3,4.2,.791,0.9,4.6,5.5,5.3,1.7,0.7,2.2,2.4,21.3,
Trey Murphy III,24,NOP,SF,53,51,35.0,7.2,15.8,.454,3.0,8.3,.361,4.2,7.6,.556,.548,3.8,4.3,.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,
Miles Bridges,26,CHO,PF,53,53,32.3,7.6,17.2,.441,2.3,7.1,.328,5.3,10.2,.519,.508,3.6,4.1,.867,1.1,6.7,7.8,3.9,0.8,0.8,2.1,1.6,21.1,
Darius Garland,25,CLE,PG,63,63,30.4,7.5,15.7,.477,2.9,7.1,.408,4.6,8.6,.534,.569,3.1,3.5,.879,0.6,2.1,2.6,6.7,1.2,0.2,2.5,2.0,21.0,
Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,.403,3.9,10.9,.355,3.5,7.3,.475,.509,2.5,2.9,.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21.0,
CJ McCollum,33,NOP,PG,53,53,32.7,7.8,17.7,.442,3.1,8.1,.376,4.8,9.6,.498,.528,2.2,3.1,.720,0.8,3.0,3.8,4.0,0.8,0.5,1.8,2.2,20.9,
Pascal Siakam,30,IND,PF,66,66,32.9,8.1,15.4,.526,1.7,4.4,.396,6.4,11.0,.577,.582,3.0,4.1,.743,1.7,5.5,7.2,3.3,0.9,0.5,1.4,2.5,20.9,
Jordan Poole,25,WAS,SG,57,57,30.5,6.8,16.0,.424,3.5,9.3,.377,3.3,6.7,.490,.534,3.7,4.2,.876,0.5,2.7,3.2,4.6,1.4,0.5,3.2,3.1,20.8,
Austin Reaves,26,LAL,SG,60,60,34.6,6.3,14.1,.446,2.6,7.2,.366,3.7,6.9,.530,.540,4.3,5.0,.872,0.8,3.7,4.5,6.0,1.2,0.3,2.4,2.0,19.6,
Scottie Barnes,23,TOR,PF,54,54,33.7,7.3,16.5,.442,1.2,4.5,.266,6.1,12.1,.507,.478,3.7,4.9,.771,1.7,6.1,7.8,5.9,1.5,1.0,2.9,1.9,19.5,
Anfernee Simons,25,POR,SG,65,65,32.7,6.9,16.0,.433,3.2,8.4,.373,3.8,7.5,.500,.532,2.5,2.8,.906,0.3,2.4,2.7,4.8,0.9,0.1,2.1,1.7,19.5,
Coby White,24,CHI,SG,61,60,33.1,6.6,15.2,.436,3.0,8.3,.356,3.7,6.9,.532,.533,3.3,3.6,.905,0.3,3.2,3.6,4.5,1.0,0.2,2.3,2.1,19.5,
Domantas Sabonis,28,SAC,C,58,58,34.8,7.5,12.7,.593,1.0,2.3,.425,6.6,10.4,.630,.632,3.1,4.2,.748,3.8,10.0,13.9,6.2,0.6,0.4,2.9,3.3,19.2,
Desmond Bane,26,MEM,SG,57,56,31.6,7.1,14.5,.487,2.3,5.8,.393,4.8,8.7,.550,.566,2.6,3.0,.882,0.9,5.3,6.3,5.5,1.2,0.4,2.6,2.4,19.1,
Cameron Johnson,28,BRK,PF,52,52,31.9,6.3,13.3,.477,2.9,7.3,.401,3.4,6.0,.569,.587,3.5,4.0,.888,0.9,3.4,4.3,3.2,0.9,0.5,1.7,1.9,19.1,
Kristaps PorziÅÄ£is,29,BOS,C,33,33,29.0,6.5,13.7,.477,2.4,6.0,.394,4.2,7.7,.542,.563,3.7,4.5,.813,1.5,5.1,6.6,1.9,0.8,1.6,1.2,2.8,19.1,
Alperen ÅengÃ¼n,22,HOU,C,65,65,31.3,7.5,14.9,.502,0.3,1.3,.241,7.2,13.7,.526,.512,3.8,5.6,.693,3.5,7.0,10.5,4.9,1.1,0.8,2.7,2.9,19.1,
John Collins,27,UTA,PF,40,31,30.5,7.0,13.3,.527,1.5,3.7,.399,5.5,9.6,.577,.583,3.5,4.1,.848,2.2,6.0,8.2,2.0,1.0,1.0,2.6,2.9,19.0,
Kawhi Leonard,33,LAC,SF,25,25,29.8,7.5,16.0,.469,1.9,5.1,.370,5.6,11.0,.515,.527,2.1,2.8,.746,1.0,4.2,5.2,2.9,1.4,0.5,2.1,1.5,19.0,
Lauri Markkanen,27,UTA,PF,47,47,31.4,6.3,14.9,.423,2.9,8.5,.346,3.4,6.4,.525,.521,3.4,3.9,.876,1.5,4.4,5.9,1.5,0.7,0.4,1.4,1.7,19.0,
Jalen Johnson,23,ATL,SF,36,36,35.7,7.5,15.1,.500,1.2,3.9,.312,6.3,11.1,.566,.541,2.6,3.5,.746,1.7,8.3,10.0,5.0,1.6,1.0,2.9,1.9,18.9,
Julius Randle,30,MIN,PF,57,57,32.3,6.5,13.7,.474,1.5,4.5,.325,5.1,9.2,.546,.527,4.3,5.3,.807,2.2,4.9,7.1,4.7,0.7,0.2,2.8,2.5,18.7,
Evan Mobley,23,CLE,PF,59,59,30.3,7.2,12.6,.568,1.1,3.0,.369,6.1,9.6,.629,.611,3.2,4.3,.742,2.3,7.1,9.3,3.1,0.8,1.6,2.0,2.0,18.6,
Nikola VuÄeviÄ,34,CHI,C,60,59,31.8,7.6,14.3,.529,1.8,4.5,.390,5.8,9.8,.592,.590,1.7,2.1,.815,2.3,7.9,10.1,3.4,0.8,0.6,1.7,2.4,18.6,
Tyrese Haliburton,24,IND,PG,62,62,34.0,6.5,13.8,.467,3.0,7.8,.387,3.5,6.1,.570,.576,2.5,3.0,.858,0.6,3.0,3.5,9.0,1.5,0.6,1.7,1.3,18.5,
Michael Porter Jr.,26,DEN,SF,66,66,33.8,6.9,13.8,.502,2.5,6.3,.398,4.4,7.5,.590,.593,1.9,2.5,.754,1.8,5.2,7.0,2.1,0.6,0.4,1.3,2.0,18.3,
Collin Sexton,26,UTA,SG,53,51,28.1,6.4,13.7,.470,1.8,4.4,.397,4.7,9.3,.504,.534,3.5,4.0,.871,1.1,1.8,2.9,4.2,0.7,0.1,2.6,2.2,18.1,
Andrew Wiggins,29,2TM,SF,54,54,30.8,6.1,14.0,.439,2.1,5.9,.364,4.0,8.1,.493,.515,3.3,4.3,.772,1.5,3.0,4.5,2.5,0.9,0.8,1.6,1.7,17.7,
Andrew Wiggins,29,GSW,SF,43,43,30.1,6.1,13.7,.444,2.2,5.8,.379,3.9,7.9,.491,.524,3.2,4.2,.777,1.5,3.0,4.6,2.4,0.9,0.8,1.3,1.6,17.6,
Andrew Wiggins,29,MIA,SF,11,11,33.5,6.4,15.1,.422,1.9,6.2,.309,4.5,8.9,.500,.485,3.6,4.8,.755,1.4,2.8,4.2,2.9,1.0,1.0,2.6,1.9,18.3,
Mikal Bridges,28,NYK,SF,67,67,37.8,7.3,14.6,.499,2.1,6.0,.355,5.1,8.6,.599,.572,1.0,1.3,.779,0.9,2.3,3.2,3.5,0.9,0.6,1.6,1.5,17.7,
Malik Monk,26,SAC,SG,56,43,32.6,6.6,14.9,.440,2.2,6.8,.318,4.4,8.1,.543,.513,2.4,2.8,.866,0.4,3.4,3.8,5.9,1.0,0.7,2.4,2.6,17.7,
De'Andre Hunter,27,2TM,SF,51,8,27.7,5.6,12.1,.465,2.5,6.1,.412,3.1,5.9,.520,.570,3.9,4.5,.858,0.7,3.3,4.1,1.5,0.7,0.2,1.4,2.4,17.6,
De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,
De'Andre Hunter,27,CLE,SF,14,4,25.1,4.2,8.8,.480,2.3,4.7,.485,1.9,4.1,.474,.610,3.4,4.0,.857,0.8,3.6,4.4,1.2,0.4,0.3,0.8,2.6,14.1,
Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,
Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,
Shaedon Sharpe,21,POR,SG,61,41,30.5,6.5,14.6,.449,2.0,6.2,.313,4.6,8.3,.550,.516,2.4,3.0,.796,0.9,3.2,4.1,2.6,0.8,0.2,2.0,1.7,17.5,
Bam Adebayo,27,MIA,C,66,66,34.4,6.7,13.8,.486,0.8,2.6,.310,5.9,11.2,.528,.516,3.2,4.2,.760,2.5,7.4,9.9,4.3,1.3,0.7,2.2,2.2,17.4,
Bradley Beal,31,PHO,SG,48,33,32.2,6.6,13.1,.505,1.9,4.9,.395,4.7,8.3,.569,.578,2.2,2.7,.813,0.7,2.7,3.4,3.6,1.0,0.5,1.9,2.6,17.3,
Immanuel Quickley,25,TOR,PG,27,27,28.4,5.6,13.1,.424,2.5,6.7,.370,3.1,6.4,.480,.518,3.6,4.2,.858,0.4,3.2,3.6,5.5,0.6,0.1,1.7,1.9,17.2,
Jimmy Butler,35,2TM,SF,41,41,31.1,5.4,10.8,.502,0.5,1.6,.299,5.0,9.2,.538,.525,5.6,6.8,.827,2.3,3.2,5.5,5.2,1.2,0.3,1.3,1.0,17.0,
Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,
Jimmy Butler,35,GSW,SF,16,16,31.8,5.1,11.3,.448,0.4,1.9,.226,4.6,9.4,.493,.467,6.3,7.3,.862,2.4,3.4,5.8,5.9,1.3,0.3,1.4,1.1,16.8,
Keyonte George,21,UTA,PG,54,32,31.4,5.4,13.6,.395,2.6,7.6,.343,2.8,6.0,.462,.491,3.4,4.3,.802,0.4,3.4,3.8,5.8,0.7,0.2,2.8,1.7,16.8,
Derrick White,30,BOS,SG,64,64,33.8,5.7,12.8,.445,3.5,9.0,.389,2.2,3.7,.582,.583,1.8,2.1,.847,0.9,3.5,4.3,4.4,1.0,1.1,1.6,1.8,16.7,
OG Anunoby,27,NYK,PF,61,61,36.7,6.1,13.2,.465,2.2,6.0,.364,3.9,7.2,.549,.548,2.2,2.7,.795,1.4,3.4,4.8,2.2,1.4,0.9,1.4,2.3,16.6,
Jordan Clarkson,32,UTA,SG,35,9,26.3,5.5,13.5,.410,2.3,6.3,.367,3.2,7.1,.448,.496,3.1,3.9,.796,0.7,2.5,3.2,3.8,0.9,0.2,2.2,1.5,16.5,
Jonathan Kuminga,22,GSW,PF,35,10,25.7,5.9,12.9,.460,1.1,3.4,.336,4.8,9.5,.505,.504,3.5,5.4,.640,1.3,3.5,4.9,2.3,0.9,0.5,1.5,1.9,16.5,
Malik Beasley,28,DET,SG,69,14,27.4,5.7,12.9,.439,3.9,9.3,.418,1.8,3.6,.494,.589,1.0,1.6,.649,0.6,2.2,2.7,1.7,1.0,0.1,1.1,1.5,16.2,
Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,.430,2.3,6.5,.358,3.6,7.4,.493,.514,1.9,2.4,.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,
Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,
Ivica Zubac,27,LAC,C,66,66,32.6,7.2,11.6,.623,0.0,0.0,,7.2,11.6,.623,.623,1.8,2.8,.638,3.7,8.8,12.5,2.6,0.7,1.2,1.7,2.2,16.2,
Devin Vassell,24,SAS,SG,52,41,30.8,6.1,14.0,.437,2.3,6.5,.353,3.8,7.5,.510,.519,1.6,2.0,.796,0.6,3.3,3.9,2.9,1.3,0.5,1.3,1.6,16.1,
Bennedict Mathurin,22,IND,SF,61,46,30.2,5.5,11.9,.465,1.5,4.1,.363,4.1,7.9,.518,.527,3.4,4.1,.832,1.2,4.1,5.2,1.9,0.6,0.4,1.9,2.3,16.0,
Mark Williams,23,CHO,C,34,31,25.9,6.2,10.5,.596,0.0,0.0,.000,6.2,10.4,.597,.596,3.2,4.1,.791,3.1,7.0,10.1,2.4,0.7,1.2,1.3,2.5,15.7,
Myles Turner,28,IND,C,59,59,30.6,5.4,11.5,.473,2.2,5.5,.393,3.3,6.0,.545,.566,2.5,3.2,.780,1.2,5.2,6.4,1.6,0.8,1.8,1.7,2.6,15.5,
Deni Avdija,24,POR,SF,63,45,29.0,5.0,10.7,.467,1.6,4.4,.353,3.4,6.3,.547,.539,3.8,4.9,.773,1.3,5.4,6.7,3.6,0.9,0.5,2.6,2.3,15.3,
Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,
Christian Braun,23,DEN,SG,67,65,33.5,5.9,10.3,.572,1.1,2.8,.390,4.8,7.5,.640,.625,2.3,2.7,.826,1.2,3.8,5.0,2.4,1.1,0.5,1.0,2.1,15.2,
Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,
Chet Holmgren,22,OKC,C,22,22,27.2,5.3,10.6,.500,1.3,3.7,.358,4.0,7.0,.575,.562,3.1,4.2,.731,1.8,6.8,8.5,1.9,0.8,2.5,1.8,2.1,15.0,
Naz Reid,25,MIN,C,69,17,27.9,5.5,11.8,.462,2.3,5.9,.387,3.2,5.9,.537,.559,1.4,1.9,.775,1.2,5.0,6.1,2.2,0.8,1.0,1.4,2.5,14.7,
Kyle Kuzma,29,2TM,PF,50,47,29.6,5.6,13.3,.421,1.3,4.7,.285,4.3,8.6,.495,.471,2.0,3.1,.628,0.8,5.3,6.1,2.3,0.6,0.2,2.3,1.8,14.5,
Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,
Kyle Kuzma,29,MIL,PF,18,17,32.9,4.9,11.7,.424,1.2,4.2,.293,3.7,7.5,.496,.476,2.2,3.2,.672,0.7,6.0,6.7,1.9,0.5,0.2,2.3,2.1,13.3,
Deandre Ayton,26,POR,C,40,40,30.2,6.6,11.7,.566,0.2,0.8,.188,6.5,10.9,.594,.573,1.0,1.5,.667,3.1,7.1,10.2,1.6,0.8,1.0,1.7,2.2,14.4,
Gradey Dick,21,TOR,SG,54,54,29.4,4.9,12.0,.410,2.1,6.0,.350,2.8,5.9,.470,.498,2.5,2.9,.858,0.8,2.8,3.6,1.8,0.9,0.2,1.5,2.2,14.4,
Jerami Grant,30,POR,PF,47,47,32.4,4.6,12.2,.373,2.3,6.3,.365,2.3,5.9,.381,.467,3.0,3.5,.849,0.6,2.9,3.5,2.1,0.9,1.0,1.4,2.3,14.4,
Klay Thompson,34,DAL,SF,61,61,27.7,5.2,12.5,.415,3.1,7.8,.398,2.1,4.7,.443,.539,0.9,1.0,.905,0.7,2.9,3.6,2.1,0.8,0.5,1.3,1.2,14.4,
P.J. Washington,26,DAL,PF,48,47,32.2,5.1,11.7,.439,1.5,4.2,.368,3.6,7.5,.478,.504,2.5,3.3,.742,1.6,6.6,8.2,2.3,1.2,1.0,1.9,2.4,14.3,
Josh Hart,29,NYK,SG,64,64,37.8,5.4,10.2,.534,1.1,3.3,.335,4.3,6.9,.630,.588,2.2,2.8,.792,2.1,7.6,9.8,5.7,1.5,0.4,2.1,2.5,14.2,
Jakob Poeltl,29,TOR,C,52,51,29.8,6.2,10.1,.616,0.0,0.1,.333,6.2,10.0,.618,.617,1.8,2.6,.672,3.3,6.3,9.6,2.8,1.2,1.2,1.9,3.2,14.2,
Tre Mann,23,CHO,PG,13,0,24.5,5.4,12.4,.435,1.8,4.6,.400,3.5,7.8,.455,.509,1.5,1.6,.905,0.9,2.0,2.9,3.0,0.5,0.3,1.9,1.8,14.1,
Payton Pritchard,27,BOS,PG,67,0,28.1,5.0,10.5,.471,3.3,7.9,.418,1.7,2.7,.626,.627,0.9,1.1,.851,1.3,2.4,3.7,3.4,0.9,0.2,1.0,1.5,14.1,
Fred VanVleet,30,HOU,PG,50,50,35.1,4.9,12.8,.382,2.6,7.7,.340,2.3,5.1,.447,.485,1.7,2.1,.811,0.6,3.4,4.0,5.7,1.6,0.5,1.5,2.4,14.1,
Dillon Brooks,29,HOU,SF,65,65,32.3,5.1,12.1,.420,2.5,6.3,.393,2.6,5.8,.450,.522,1.4,1.7,.817,1.1,2.8,3.9,1.8,0.8,0.2,1.0,3.4,14.0,
Amen Thompson,22,HOU,SF,60,33,32.5,5.5,10.0,.553,0.3,1.3,.256,5.2,8.7,.597,.569,2.6,3.8,.693,2.8,5.6,8.3,3.6,1.3,1.3,2.1,2.3,14.0,
