Player,Team,Player Fit Score,Trade Value Score,Net Rating Impact,Salary Cap Impact Score,On-Off Impact,Team,eFG%,TS%,USG%,AST%,TOV%,STL%,BLK%,ORtg,DRtg,NRtg,Value_per_Dollar,Cap_Impact_Score,2024-25_Payroll,2025-26_Payroll,KMeans_Cluster,Hierarchical_Cluster,GMM_Cluster
D'Angelo Russell,BRK,-1.5395416399652416e-07,-6.16,-5.3122256439729805,1.848441653178013,-5.303601901044457,BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690168,0.1518095582,0.094596054,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890064,845273380,296749410,1,3,1
Dalano Banton,POR,-8.204645381993294e-08,-2.79,-2.4443418519806257,-0.0219220116701487,-2.4443418519806186,POR,-0.2594359364999999,-0.214810588,0.4143013355,0.2554658479999999,-0.046283402,0.6294549465,-0.171434437,112.15,114.94,-2.79,-1.6409290763986589e-07,-0.0438440233402974,334173226,341663170,2,2,1
Dante Exum,DAL,-7.866830296736841e-09,-0.34,-0.8995998278335267,-0.0780422912977279,-0.9260586462992412,DAL,0.4950258106666667,0.6580445036666667,0.5051901116666666,0.257877325,0.1542780063333333,0.1932225166666666,-0.3739341746666667,115.66,116.01,-0.34,-2.360049089021052e-08,-0.2341268738931837,525715590,570216600,2,5,4
Dario Šarić,DEN,7.235110638261624e-08,3.72,-10.126799094255825,-0.0847526992765661,-10.12679909425582,DEN,-0.2176319872499999,-0.1925564924999999,-0.6127418295,-0.64160360775,0.97195144,-0.3378430504999999,-0.08859363525,119.89,116.17,3.72,2.8940442553046497e-07,-0.3390107971062644,730297260,797923424,4,4,2
David Roddy,ATL,-4.020269595096108e-08,-1.73,5.226797306386626,0.1595899003749404,5.226797306386637,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Day'Ron Sharpe,BRK,-1.5395416399652416e-07,-6.16,-12.193429470765256,1.848441653178013,-12.173634942403636,BRK,-0.5902843327999999,-0.2697040244,1.1268693376,1.0671690168,0.1518095582,0.094596054,-0.0941163552,109.22,115.37,-6.16,-7.697708199826208e-07,9.242208265890064,845273380,296749410,1,3,1
De'Anthony Melton,GSW,4.37580127377423e-08,2.44,2.283146636549642,0.0308099399106433,2.28314663654964,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Doug McDermott,SAC,1.5719054682998314e-08,0.7,-1.4153239358748992,-0.0009915644528828,-1.4153239358749052,SAC,-0.8673847948000001,-0.8601793674,-0.254640053,-0.5562373208,0.314727133,-0.0647236162,-0.4917522040000001,116.95,116.25,0.7,7.859527341499157e-08,-0.004957822264414,841318980,842154030,4,4,2
Elfrid Payton,NOP,-2.5132284856886204e-07,-9.23,20.14268304130185,-0.0016979828681875,20.142683041301865,NOP,-0.8466818873333334,-1.6316546893333337,-0.13709057,1.092248378,0.697336589,-0.1102435216666666,-0.208252571,110.67,119.90000000000002,-9.23,-7.539685457065861e-07,-0.0050939486045625,510804195,511673007,3,1,1
Gabe Vincent,LAL,1.8879987818303512e-08,0.92,-1.144836418542628,-0.0064306956196978,-1.1323925444280296,LAL,0.6662229353333333,0.7618969509999999,-0.6763639723333333,-0.6777757633333333,-0.4011228166666666,-0.2619765406666666,0.15992877,115.06,114.15000000000002,0.92,5.6639963454910547e-08,-0.0192920868590934,564066459,567717276,0,5,4
Garrison Mathews,ATL,-4.020269595096108e-08,-1.73,6.257836787579057,0.1595899003749404,6.257836787579072,ATL,0.2929733902499999,0.3489598395,-0.27645335925,-0.37031244175,-0.3239838135,-0.0533436395,0.2565763722499999,113.6,115.33,-1.73,-1.6081078380384433e-07,0.6383596014997616,671078164,578720256,0,5,4
Gary Harris,ORL,-5.32e-08,-1.33,0.8900113566385961,-0.2458188289446188,0.8967031713501668,ORL,-0.2504779475,-0.1480483007499999,0.6597010302499999,0.39292003875,-0.43969231825,-0.0533436394999999,-0.3785364415,108.56,109.9,-1.33,-2.128e-07,-0.9832753157784752,601436952,797470124,2,2,1
Gary Payton II,GSW,4.37580127377423e-08,2.44,-9.447272457061024,0.0308099399106433,-9.447272457061016,GSW,-0.1250661002499999,-0.15917534875,0.49610123425,0.46164713425,-0.1897619475,0.6294549465,-0.0057528334999999,114.39,111.95,2.44,1.750320509509692e-07,0.1232397596425732,703038776,682025608,2,2,1
Gary Trent Jr.,MIL,4.8987781258529306e-08,2.39,-21.17788695780921,0.108144598340233,-21.26649736349047,MIL,0.0491170208333333,0.0571839164999999,-0.1916238353333333,-0.1978918338333333,-0.2653581708333333,-0.1671434039999999,-0.4567749766666666,114.96999999999998,112.57,2.39,2.9392668755117586e-07,0.648867590041398,1095601206,988680726,4,4,2
Guerschon Yabusele,PHI,-1.0891564401684165e-07,-5.6,20.256581508926427,-0.0309394938546513,20.25658150892641,PHI,0.415399241,0.408304095,-0.930852544,-0.475211693,0.2221603295,0.5156551819999999,-0.806547251,112.39,117.99,-5.6,-2.178312880336833e-07,-0.0618789877093026,338015776,348807710,0,5,3
Isaiah Jackson,IND,3.082292466877211e-08,1.3,90.33597547531144,0.0216212432155607,89.641083356271,IND,0.4094272479999999,0.423140159,0.2961459275,-0.7211823500000001,0.1295935255,-0.2240432859999999,2.7003800250000003,116.06,114.77,1.3,6.164584933754422e-08,0.0432424864311214,337139534,330004428,0,5,0
Jabari Walker,POR,-8.204645381993294e-08,-2.79,8.919184420825406,-0.0219220116701487,8.919184420825381,POR,-0.2594359364999999,-0.214810588,0.4143013355,0.2554658479999999,-0.046283402,0.6294549465,-0.171434437,112.15,114.94,-2.79,-1.6409290763986589e-07,-0.0438440233402974,334173226,341663170,2,2,1
