Player,eFG%,TS%,USG%,3PAr,FTr,AST%,TOV%,STL%,BLK%,DBPM,DRB%,ORB%,DWS,VORP,PER,2024-25_Player_Salary,2025-26_Player_Salary,2026-27_Player_Salary,2027-28_Player_Salary,2028-29_Player_Salary,Guaranteed_Player_Salary,BadPass,LostBall,OnCourt,On-Off,DWS.1,OWS,PG%,SG%,SF%,PF%,C%,Team,W/L%,MOV,ORtg,DRtg,NRtg,NRtg/A,2024-25_Payroll,2025-26_Payroll,Value_per_Dollar,Cap_Impact_Score,Cluster
Dario Šarić,-1.806182051,-2.106408734,-0.367342135,0.185423341,-0.331942855,0.00226076,1.166341728,0.003556243,-0.944615254,-0.445981624,0.438024209,0.317817127,-0.960091897,-0.775142815,-1.469927047,51415938,55224526.0,59033114.0,62841702.0,,165673578,-0.562755263,-0.763035059,-1.290209765,-1.858401153,-0.960091897,-1.06279575,-0.503705239,-0.739145456,-0.669799119,-0.56138149,1.625549895,DEN,0.62,3.86,119.89,116.17,3.72,3.68,182574315,199480856,7.235110638261624e-08,-0.0847526992765661,0
David Roddy,0.069023663,0.04482053,-0.330986625,0.257847715,-0.253716136,-0.099021276,0.407293937,0.117356007,-0.060980035,0.141520755,0.729702757,-0.548605224,-0.673408158,-0.438429194,-0.310602396,43031940,45999660.0,48967380.0,,,89031600,-0.452275702,-0.338143147,-0.963868421,-0.66631898,-0.673408158,-0.699382065,-0.503705239,-0.739145456,-0.405005507,2.133249661,-0.47193384,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Day'Ron Sharpe,-0.134024089,0.015148402,0.505190112,-1.142356863,-0.014434404,0.537608661,0.536887462,0.572555064,1.430154398,0.361834148,1.361672945,2.525131213,0.473326798,0.403354859,1.497944059,40011909,,,,,39256083,0.044882322,0.25670553,0.287106729,1.476892585,0.473326798,0.390858989,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,BRK,0.324,-6.06,109.22,115.37,-6.16,-5.86,169054676,59349882,-1.5395416399652416e-07,1.848441653178013,1
De'Anthony Melton,-0.301239885,-0.48927777,1.068700521,0.925761393,-0.47459158,1.203176321,0.425807298,1.25535365,-0.281888839,0.508709743,-0.437011436,-0.23916867,-0.960091897,-0.606786005,-0.101923959,55761216,59606817.0,62587158.0,,,177955191,-0.949433726,-0.763035059,2.027593894,1.616391563,-0.960091897,-0.881088908,1.388316246,0.62681332,-0.228476433,-0.69781851,-0.743372912,GSW,0.577,2.42,114.39,111.95,2.44,2.8,175759694,170506402,4.37580127377423e-08,0.0308099399106433,0
Doug McDermott,0.546783081,0.430558191,-0.494586421,1.766688856,-0.902537754,-1.574845219,-1.20336845,-1.134441401,-0.77893365,-1.767861978,-1.474090719,-1.146849228,-1.103433766,-0.943499626,-1.330808089,44531940,47499660.0,48967380.0,,,92031600,-0.894193945,-0.932991824,0.436679845,0.322855588,-1.103433766,-0.699382065,-0.503705239,-0.631306606,1.757475657,0.700660948,-0.718696633,SAC,0.5,0.67,116.95,116.25,0.7,0.64,168263796,168430806,1.5719054682998314e-08,-0.0009915644528828,3
Elfrid Payton,-0.635671478,-2.699851289,-0.458230911,-1.621162451,-1.017577047,3.37350565,2.962137722,1.369153415,0.049474368,0.214958553,-0.404602709,-0.837412674,-0.960091897,-0.943499626,-1.168502637,36725670,39446090.0,42166510.0,44886930.0,,163225200,0.155361882,-0.678056676,-1.480575549,-0.260503773,-0.960091897,-1.244502593,2.261556932,0.12356535,-0.669799119,-0.69781851,-0.743372912,NOP,0.268,-8.99,110.67,119.9,-9.23,-8.33,170268065,170557669,-2.5132284856886204e-07,-0.0016979828681875,0
Gabe Vincent,-0.384847783,-0.667310537,-0.803608258,1.1631524,-0.930147184,-0.518618279,-0.647967627,0.003556243,-0.668479248,-0.005354839,-1.700951812,-1.04370371,0.04330119,-1.785283678,-1.516300033,48728845,52627153.0,,,,48728845,0.210601663,-0.763035059,0.178326281,-0.209776872,0.04330119,-0.790235486,2.370712018,0.015726499,-0.669799119,-0.69781851,-0.743372912,LAL,0.614,0.89,115.06,114.15,0.92,0.84,188022153,189239092,1.8879987818303512e-08,-0.0064306956196978,3
Garrison Mathews,0.164575547,0.57891883,-0.276453359,1.734500245,0.289269332,-0.446273968,-0.573914184,-0.224043286,-0.281888839,-0.445981624,-0.874529259,-0.961187296,-0.530066288,-0.438429194,-0.472907847,43031940,45999660.0,48967380.0,,,89031600,-0.23131658,-0.508099911,-0.474356406,-0.209776872,-0.530066288,0.027445304,-0.285395068,1.884933246,0.256978523,-0.69781851,-0.743372912,ATL,0.486,-1.91,113.6,115.33,-1.73,-1.8,167769541,144680064,-4.020269595096108e-08,0.1595899003749404,3
Gary Harris,-0.695391405,-1.02337607,-1.494362954,1.376401947,-0.695467024,-1.097372767,-0.407293937,0.231155771,-0.171434437,0.949336527,-1.441681991,-0.651750742,-0.243382549,-0.775142815,-1.655418991,25000000,15000000.0,14500000.0,14500000.0,15000000.0,69000000,-0.783714385,-0.848013441,0.314301841,0.652580445,-0.243382549,-0.881088908,-0.176239982,1.597362977,0.389375329,-0.6296,-0.743372912,ORL,0.465,-1.31,108.56,109.9,-1.33,-1.82,150359238,199367531,-5.32e-08,-0.2458188289446188,4
Gary Payton II,0.928990615,1.024000746,-0.258275604,-0.373853775,-0.50220101,0.118011657,-0.388780576,1.027754122,-0.116207236,1.243087717,-0.031902341,-0.094764945,0.616668668,0.571711669,0.640043818,55761216,59606817.0,62587158.0,,,177955191,-0.23131658,-0.678056676,1.143752756,0.944260125,0.616668668,0.48171241,0.333150418,1.884933246,-0.493270045,-0.69781851,-0.743372912,GSW,0.577,2.42,114.39,111.95,2.44,2.8,175759694,170506402,4.37580127377423e-08,0.0308099399106433,0
Gary Trent Jr.,0.188463518,0.23768936,-0.112853563,0.905643512,-0.612638733,-0.894808696,-1.147828367,0.231155771,-1.055069656,-0.299106029,-1.117594715,-1.064332814,0.760010537,-0.438429194,-0.542467326,48787676,54126450.0,58456566.0,62786682.0,,161370692,-0.507515482,0.341683913,0.069545833,-0.323912399,0.760010537,0.118298726,-0.394550154,1.166007574,1.272020702,-0.663709255,-0.743372912,MIL,0.571,2.39,114.97,112.57,2.39,2.09,182600201,164780121,4.8987781258529306e-08,0.108144598340233,0
Guerschon Yabusele,0.475119168,0.653099149,-0.276453359,0.294059903,-0.042043835,-0.243709898,0.111080165,-0.224043286,-0.447570443,-0.813170611,0.194958752,0.255929817,0.04330119,-0.101715573,0.106754478,51415938,55224526.0,57985752.0,62624612.0,67263472.0,227250828,0.155361882,1.446402884,-0.270393066,0.754034246,0.04330119,1.299393201,-0.503705239,-0.739145456,-0.669799119,0.189022122,1.082671751,PHI,0.329,-5.43,112.39,117.99,-5.6,-5.28,169007888,174403855,-1.0891564401684164e-07,-0.0309394938546513,2
Isaiah Jackson,0.666222935,0.415722127,0.014390723,-1.681516097,1.646733001,-0.663306901,0.388780576,0.003556243,3.584015244,1.169649919,1.16722058,1.761854379,-1.103433766,-0.438429194,1.057400692,42176400,45550512.0,48924624.0,52298736.0,55672848.0,244623120,-0.949433726,-1.017970206,0.912594304,0.754034246,-1.103433766,-0.790235486,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,IND,0.586,1.21,116.06,114.77,1.3,0.64,168569767,165002214,3.082292466877211e-08,0.0216212432155607,2
Jabari Walker,0.212351488,0.282197552,-0.31280887,-0.309476553,0.201839469,-0.735651212,-0.314727133,0.686354829,-0.668479248,0.28839635,1.361672945,0.482849956,-0.10004068,-0.270072384,0.292246422,34005126,35550814.0,,,,69555940,-0.617995043,-0.083207999,0.001558053,0.627216994,-0.10004068,-0.154261538,-0.503705239,-0.739145456,0.168713985,1.553392325,-0.373228723,POR,0.451,-3.03,112.15,114.94,-2.79,-2.47,167086613,170831585,-8.204645381993293e-08,-0.0219220116701487,3
Jaden Ivey,-0.205688002,-0.044195853,1.541322155,-0.180722109,0.137417464,1.015081113,0.666480988,-0.224043286,-0.502797644,-0.666295016,-0.842120531,-0.280426877,0.04330119,0.066641237,0.245873436,25365854,26634146.0,,,,52000000,1.260157491,1.361424502,-0.46075885,-0.996043836,0.04330119,-0.608528644,-0.249010039,1.992772097,0.124581717,-0.69781851,-0.743372912,DET,0.549,2.2,114.34,112.16,2.18,1.58,141808220,127468272,8.594230653539204e-08,0.1124981752321864,1
Jae Crowder,-1.340366618,-0.934359687,-1.185341116,1.159128823,0.468730631,-1.068435042,0.814587874,-0.110243522,-1.165524059,-0.372543827,-0.32358089,0.173413402,-1.103433766,-0.775142815,-1.632232498,44531940,47499660.0,48967380.0,,,92031600,-0.838954165,-1.017970206,-0.787100194,-0.869226584,-1.103433766,-0.881088908,-0.503705239,-0.739145456,2.64012103,0.154912867,-0.743372912,SAC,0.5,0.67,116.95,116.25,0.7,0.64,168263796,168430806,1.5719054682998314e-08,-0.0009915644528828,3
Jae'Sean Tate,-0.587895536,-0.48927777,-0.730897238,-0.550891136,0.376699195,-0.388398519,-0.296213772,0.572555064,-0.613252047,0.949336527,-0.437011436,0.585995474,-0.10004068,-0.438429194,-0.403348368,42846615,44886930.0,,,,42846615,-0.728474604,-0.593078294,0.803813856,0.259446962,-0.10004068,-0.245114959,-0.394550154,0.806544738,1.580946583,-0.595490745,-0.743372912,HOU,0.648,4.58,114.51,110.12,4.4,4.78,167805430,188050805,1.0269189293016497e-07,-0.1076590711749412,3
Jalen Duren,1.705349668,2.018017027,-0.276453359,-1.681516097,0.790840654,0.20482483,1.036748203,-0.451642815,1.209245593,1.169649919,2.188095499,1.720596172,3.053480449,2.928707016,1.683436003,25365854,26634146.0,,,,52000000,2.199233757,1.361424502,0.314301841,-0.082959619,3.053480449,3.389021889,-0.503705239,-0.739145456,-0.669799119,-0.69781851,1.724255012,DET,0.549,2.2,114.34,112.16,2.18,1.58,141808220,127468272,8.594230653539204e-08,0.1124981752321864,1
